radius_km,M_thr,W,P_exceed,P_lo,P_hi
3,2.0,10000.0,0.0,0.0,1.7887411717198053e-27
3,2.0,10985.411419875572,0.0,0.0,1.9658655620641896e-27
3,2.0,12067.92640639329,0.0,0.0,2.16062226277331e-27
3,2.0,13257.113655901081,0.0,0.0,2.3747858009046976e-27
3,2.0,14563.484775012445,0.0,0.0,2.6103132730010994e-27
3,2.0,15998.587196060573,0.0,0.0,2.8693639455922996e-27
3,2.0,17575.10624854793,0.0,0.0,3.154321125452762e-27
3,2.0,19306.977288832495,0.0,0.0,3.4678165950007235e-27
3,2.0,21209.508879201927,0.0,0.0,3.81275795275165e-27
3,2.0,23299.51810515372,0.0,0.0,4.1923592510214166e-27
3,2.0,25595.479226995332,0.0,0.0,4.61017538466124e-27
3,2.0,28117.68697974231,0.0,0.0,5.070140757337779e-27
3,2.0,30888.435964774784,0.0,0.0,5.576612838026873e-27
3,2.0,33932.217718953296,0.0,0.0,6.134421322718578e-27
3,2.0,37275.93720314938,0.0,0.0,6.748923738241254e-27
3,2.0,40949.15062380427,0.0,0.0,7.426068470748945e-27
3,2.0,44984.32668969444,0.0,0.0,8.17246637591991e-27
3,2.0,49417.13361323838,0.0,0.0,8.995472337613218e-27
3,2.0,54286.754393238596,0.0,0.0,9.903278394473007e-27
3,2.0,59636.23316594637,0.0,0.0,1.0905020359511777e-26
3,2.0,65512.85568595509,0.0,0.0,1.2010900228203218e-26
3,2.0,71968.56730011514,0.0,0.0,1.3232327121285274e-26
3,2.0,79060.43210907701,0.0,0.0,1.4582080058407037e-26
3,2.0,86851.13737513521,0.0,0.0,1.6074496532002695e-26
3,2.0,95409.54763499944,0.0,0.0,1.772569167775096e-26
3,2.0,104811.31341546852,0.0,0.0,1.9553813857292262e-26
3,2.0,115139.53993264481,0.0,0.0,2.157934372972063e-26
3,2.0,126485.52168552957,0.0,0.0,2.3825445453698417e-26
3,2.0,138949.5494373136,0.0,0.0,2.631838061279545e-26
3,2.0,152641.79671752334,0.0,0.0,2.9087997897315177e-26
3,2.0,167683.29368110065,0.0,0.0,3.216831464193691e-26
3,2.0,184206.99693267164,0.0,0.0,3.5598210186676866e-26
3,2.0,202358.96477251555,0.0,0.0,3.942225593023689e-26
3,2.0,222299.64825261955,0.0,0.0,4.369171318458153e-26
