a_star,psi,ci_low,ci_high,se_boot,B,n,n_clusters,device,radius_km,estimator
1000000.0,0.076962724328041,0.0621761281043291,0.0929317077621817,0.0075806415101424,500,451212,389,cuda,8,xgb_hurdle_gpu_dose_response
10000000.0,0.0857580974698066,0.0668866664171218,0.1098765036091208,0.0105755923993572,500,451212,389,cuda,8,xgb_hurdle_gpu_dose_response
1000.0,0.0965164676308631,0.0725704777985811,0.1183330537751317,0.011368997047301,500,451212,389,cuda,9,xgb_hurdle_gpu_dose_response
10000.0,0.0959978699684143,0.0738167954608798,0.1176120160147547,0.0110567158380701,500,451212,389,cuda,9,xgb_hurdle_gpu_dose_response
100000.0,0.0971662849187851,0.0792354812845587,0.1185719687491655,0.0099939799133327,500,451212,389,cuda,9,xgb_hurdle_gpu_dose_response
1000000.0,0.0960102379322052,0.0790592491626739,0.1117449624463915,0.0081361949835908,500,451212,389,cuda,9,xgb_hurdle_gpu_dose_response
10000000.0,0.100991815328598,0.0838517483323812,0.1296386204659938,0.0119002719658866,500,451212,389,cuda,9,xgb_hurdle_gpu_dose_response
1000.0,0.1156089231371879,0.0894399708136916,0.1398305263370275,0.0134029310327968,500,451212,389,cuda,10,xgb_hurdle_gpu_dose_response
10000.0,0.1150599047541618,0.0893766548484563,0.1379097446799278,0.0129019787497106,500,451212,389,cuda,10,xgb_hurdle_gpu_dose_response
100000.0,0.1161280795931816,0.0966505730524659,0.1371189855039119,0.0102064034590049,500,451212,389,cuda,10,xgb_hurdle_gpu_dose_response
1000000.0,0.1125318109989166,0.0958070363849401,0.1303651485592126,0.0087408590455569,500,451212,389,cuda,10,xgb_hurdle_gpu_dose_response
10000000.0,0.1216612085700035,0.0996871083974838,0.1493509989231825,0.0127006425337532,500,451212,389,cuda,10,xgb_hurdle_gpu_dose_response
1000.0,0.134706825017929,0.1048917630687356,0.1665695082396268,0.0155763413141923,500,451212,389,cuda,11,xgb_hurdle_gpu_dose_response
10000.0,0.1340863406658172,0.1045968867838382,0.1564773276448249,0.0137628063230851,500,451212,389,cuda,11,xgb_hurdle_gpu_dose_response
100000.0,0.140415608882904,0.1149260129779577,0.1572738941758871,0.0111761679604866,500,451212,389,cuda,11,xgb_hurdle_gpu_dose_response
1000000.0,0.1313274353742599,0.1139537358656525,0.1487754192203283,0.009002895451137,500,451212,389,cuda,11,xgb_hurdle_gpu_dose_response
10000000.0,0.1409102082252502,0.1150662548840046,0.1698535520583391,0.0140763175664738,500,451212,389,cuda,11,xgb_hurdle_gpu_dose_response
1000.0,0.1466679275035858,0.1145728789269924,0.1812616616487503,0.0176644498889279,500,451212,389,cuda,12,xgb_hurdle_gpu_dose_response
10000.0,0.1465889364480972,0.1170481823384761,0.1765448216348886,0.0159438985681463,500,451212,389,cuda,12,xgb_hurdle_gpu_dose_response
100000.0,0.1603796929121017,0.1306293521076441,0.1791683476418256,0.0121648052865746,500,451212,389,cuda,12,xgb_hurdle_gpu_dose_response
1000000.0,0.1485867649316787,0.1311836995184421,0.1677353143692016,0.0094729037715348,500,451212,389,cuda,12,xgb_hurdle_gpu_dose_response
10000000.0,0.1610893607139587,0.1278109151870012,0.1873690504580735,0.0148431023677701,500,451212,389,cuda,12,xgb_hurdle_gpu_dose_response
1000.0,0.1630908399820327,0.123474895209074,0.1949071552604436,0.0191030791573123,500,451212,389,cuda,13,xgb_hurdle_gpu_dose_response
10000.0,0.163050040602684,0.1276927467435598,0.1908755343407392,0.0175049233879457,500,451212,389,cuda,13,xgb_hurdle_gpu_dose_response
100000.0,0.1696267127990722,0.1437623560428619,0.196321939677,0.0131253076803899,500,451212,389,cuda,13,xgb_hurdle_gpu_dose_response
1000000.0,0.1664691120386123,0.1479084197431802,0.1873736962676048,0.0100097451299387,500,451212,389,cuda,13,xgb_hurdle_gpu_dose_response
10000000.0,0.1816374957561493,0.1446459744125604,0.2085597150027751,0.0152152895369557,500,451212,389,cuda,13,xgb_hurdle_gpu_dose_response
1000.0,0.1810555905103683,0.1383174337446689,0.2174318641424178,0.0205645285147434,500,451212,389,cuda,14,xgb_hurdle_gpu_dose_response
10000.0,0.1807627975940704,0.1419354036450386,0.2134690716862678,0.0193013438170804,500,451212,389,cuda,14,xgb_hurdle_gpu_dose_response
100000.0,0.1936570852994918,0.157119096070528,0.2177825581282377,0.0143716407667392,500,451212,389,cuda,14,xgb_hurdle_gpu_dose_response
1000000.0,0.1853669434785843,0.1649671886116266,0.2092116601765155,0.0108173898309728,500,451212,389,cuda,14,xgb_hurdle_gpu_dose_response
10000000.0,0.1992576569318771,0.1641755528748035,0.2223176155239343,0.0148735514612416,500,451212,389,cuda,14,xgb_hurdle_gpu_dose_response
1000.0,0.1837171912193298,0.1513133618980646,0.2341698437929153,0.0230287250861995,500,451212,389,cuda,15,xgb_hurdle_gpu_dose_response
10000.0,0.1828064322471618,0.1500181715935468,0.2329802095890045,0.0214060255335087,500,451212,389,cuda,15,xgb_hurdle_gpu_dose_response
100000.0,0.2072237133979797,0.1749214377254247,0.2386364519596099,0.0162135691452347,500,451212,389,cuda,15,xgb_hurdle_gpu_dose_response
1000000.0,0.2048128545284271,0.1827765714377164,0.2287840168923139,0.0116028458926363,500,451212,389,cuda,15,xgb_hurdle_gpu_dose_response
10000000.0,0.218271404504776,0.1881881508976221,0.246407825127244,0.0157034345769537,500,451212,389,cuda,15,xgb_hurdle_gpu_dose_response
1000.0,0.1935375481843948,0.1538512893021106,0.2527420356869697,0.0248949788848507,500,451212,389,cuda,16,xgb_hurdle_gpu_dose_response
10000.0,0.1940809041261673,0.1580769356340169,0.2478175938129425,0.0227975723393227,500,451212,389,cuda,16,xgb_hurdle_gpu_dose_response
100000.0,0.219603955745697,0.1899013061076402,0.2560471154749393,0.017374463452951,500,451212,389,cuda,16,xgb_hurdle_gpu_dose_response
1000000.0,0.2250204682350158,0.2013374470174312,0.2516992434859276,0.0124696329674906,500,451212,389,cuda,16,xgb_hurdle_gpu_dose_response
10000000.0,0.2461614459753036,0.2094286624342203,0.2734196364879608,0.0165507329757416,500,451212,389,cuda,16,xgb_hurdle_gpu_dose_response
1000.0,0.2075386047363281,0.1648774728178978,0.2735378861427306,0.0273918590051499,500,451212,389,cuda,17,xgb_hurdle_gpu_dose_response
10000.0,0.2073171883821487,0.1670578461140394,0.2639927469193935,0.0249753030533452,500,451212,389,cuda,17,xgb_hurdle_gpu_dose_response
100000.0,0.2327818721532821,0.2009583886712789,0.2748330079019069,0.0188115680924555,500,451212,389,cuda,17,xgb_hurdle_gpu_dose_response
1000000.0,0.2411386221647262,0.2207984767854213,0.2710552558302879,0.0127411920971521,500,451212,389,cuda,17,xgb_hurdle_gpu_dose_response
10000000.0,0.2654207944869995,0.232728585973382,0.3016126573085784,0.0173421377360314,500,451212,389,cuda,17,xgb_hurdle_gpu_dose_response
1000.0,0.2268611341714859,0.1768296878784895,0.286617498844862,0.0279302154845373,500,451212,389,cuda,18,xgb_hurdle_gpu_dose_response
10000.0,0.2269583940505981,0.1828956171870231,0.2840572223067283,0.0264036786483442,500,451212,389,cuda,18,xgb_hurdle_gpu_dose_response
100000.0,0.2524983882904053,0.217163386195898,0.2940110668540001,0.0196957996770123,500,451212,389,cuda,18,xgb_hurdle_gpu_dose_response
1000000.0,0.2624520659446716,0.241649330407381,0.2927682690322399,0.0133314369247719,500,451212,389,cuda,18,xgb_hurdle_gpu_dose_response
10000000.0,0.2832816541194916,0.2578413493931293,0.3250215992331505,0.0181212871818999,500,451212,389,cuda,18,xgb_hurdle_gpu_dose_response
1000.0,0.2322473973035812,0.1905764281749725,0.3158877059817314,0.0303517243503853,500,451212,389,cuda,19,xgb_hurdle_gpu_dose_response
10000.0,0.2340029925107956,0.1981647223234176,0.3092100121080875,0.0285189114918642,500,451212,389,cuda,19,xgb_hurdle_gpu_dose_response
100000.0,0.2708818614482879,0.2357192520052194,0.3141899324953556,0.0204149677942439,500,451212,389,cuda,19,xgb_hurdle_gpu_dose_response
1000000.0,0.2774592041969299,0.2596726886928081,0.3138994991779327,0.0139849690075348,500,451212,389,cuda,19,xgb_hurdle_gpu_dose_response
10000000.0,0.3147706687450409,0.2772223852574825,0.349895017594099,0.0186405454577476,500,451212,389,cuda,19,xgb_hurdle_gpu_dose_response
1000.0,0.2485294193029403,0.2049095913767814,0.3269417062401771,0.0313281132847931,500,451212,389,cuda,20,xgb_hurdle_gpu_dose_response
10000.0,0.2485080808401107,0.2073139946907758,0.3217508792877197,0.0302426116427379,500,451212,389,cuda,20,xgb_hurdle_gpu_dose_response
100000.0,0.2859038114547729,0.2510541155934334,0.3300412394106388,0.0215096236170096,500,451212,389,cuda,20,xgb_hurdle_gpu_dose_response
1000000.0,0.3015867471694946,0.277823456376791,0.3338474810123443,0.0146960088380436,500,451212,389,cuda,20,xgb_hurdle_gpu_dose_response
10000000.0,0.3337059319019317,0.3002140656113624,0.3727868370711803,0.0188810199619709,500,451212,389,cuda,20,xgb_hurdle_gpu_dose_response
