radius_km,window_days,a_star,psi,se_iid,se_cluster,ci_low,ci_high,epsilon,n_in_bin
2,365,10000.0,0.0032255623502366513,0.0010247626217419201,0.001052389635622711,0.001162916566712907,0.005288208133760396,5.4881599991095976e-05,2949
2,365,100000.0,0.003036187264404122,3.079406210499333e-05,0.00020311272065382484,0.0026380936471206806,0.0034342808816875633,-1.7100924012325708e-05,2949
2,365,1000000.0,0.006359630810757151,0.0012786452212707356,0.0013609760116627485,0.0036921668440751997,0.009027094777439102,-1.3850852720564162e-06,2949
2,365,10000000.0,0.013421492081179997,0.0002811143353567122,0.0013970056881212386,0.010683411246264774,0.01615957291609522,-2.525040054724499e-05,2949
2,365,100000000.0,0.012107145508496899,3.521890516486887e-05,0.001057751355994021,0.010033990946150213,0.014180300070843584,-0.0006824789152295804,2950
3,365,10000.0,0.007408217357842168,0.0010424113986741922,0.0011459187486963696,0.005162257881188079,0.009654176834496257,2.5248583555988338e-05,2949
3,365,100000.0,0.009408276286154036,0.0008250775369987172,0.0012161461983956996,0.007024673537363161,0.011791879034944911,-9.304202667878927e-06,2949
3,365,1000000.0,0.013678534408777842,0.001516385425144313,0.001956987268571892,0.00984290984417352,0.017514158973382165,-2.0546485912336595e-05,2949
3,365,10000000.0,0.026826195463671678,0.0004748463959173641,0.002586268909604596,0.021757201546510993,0.03189518938083236,-4.6296045909437234e-05,2949
3,365,100000000.0,0.020129777658020005,5.226126266667086e-05,0.001679328443447889,0.016838354390648434,0.023421200925391576,-0.0019289127721519677,2950
1,365,10000.0,0.0006601520484654189,4.148873243534567e-06,6.166867145104759e-05,0.0005392836734469321,0.0007810204234839056,-2.5033736039333626e-06,2949
1,365,100000.0,0.0008368516066131718,6.343717870729126e-06,7.636183444200544e-05,0.0006871851613134309,0.0009865180519129128,-3.157977488246824e-06,2949
1,365,1000000.0,0.0018868660372829578,0.0006273856943452774,0.000804584998133121,0.00030990841844081413,0.0034638236561251017,2.569125292351241e-06,2949
1,365,10000000.0,0.005717697997161725,0.0001821463517484807,0.0006478994699649803,0.004447838370427773,0.006987557623895677,-7.560001901252263e-06,2949
1,365,100000000.0,0.004940340637800982,1.9777977540977836e-05,0.00045539968603366325,0.004047773654604153,0.0058329076209978105,-0.00017476149497795625,2950
4,365,10000.0,0.015199218416010922,0.0012356753954392396,0.0016937270560533622,0.01187957438650528,0.018518862445516565,3.993713099255429e-05,2949
4,365,100000.0,0.01741689285985443,0.0008049996538468602,0.0014074658954827141,0.014658310395239895,0.020175475324468967,-4.636677045367892e-05,2949
4,365,1000000.0,0.023770731799823277,0.002100532411350075,0.003286445798822389,0.017329416396988425,0.03021204720265813,9.886454288240135e-06,2949
4,365,10000000.0,0.038663728477332765,0.0016645492199738967,0.004932398929296728,0.028996404218527255,0.048331052736138275,4.284291959413693e-05,2949
4,365,100000000.0,0.02793011213151494,7.417874130442767e-05,0.0023282835153352432,0.023366760295659553,0.03249346396737033,-0.002714771209527023,2950
5,365,10000.0,0.024502732692546113,0.001229969942273283,0.0019261010941727065,0.02072764391738442,0.028277821467707808,4.6190619826676465e-06,2949
5,365,100000.0,0.026633610136652896,0.000916253568798859,0.0017271754853922007,0.023248408390303697,0.030018811883002094,-8.224766852509055e-05,2949
5,365,1000000.0,0.03301713548672866,0.002739636536722399,0.003976119201235569,0.025224085054068777,0.04081018591938854,3.0610722562887226e-06,2949
5,365,10000000.0,0.05588038607198992,0.0022131127145063128,0.005859929230959392,0.04439513582735601,0.06736563631662382,0.00012068608928153852,2949
5,365,100000000.0,0.048926465850544144,0.00011111702710884989,0.0034113249412010566,0.04224039182622685,0.055612539874861436,-0.0026177831729877264,2950
6,365,10000.0,0.03749211689693561,0.001471116574512521,0.002307540186971726,0.0329694212375922,0.042014812556279015,2.0173095500730877e-05,2949
6,365,100000.0,0.042661382926986985,0.0016197378277228393,0.0025473405834830452,0.03766868712700297,0.047654078726971,-6.601725534932478e-05,2949
6,365,1000000.0,0.04536652089318249,0.0030589456864816614,0.005066040432236599,0.03543726410177503,0.055295777684589945,2.369204799511537e-05,2949
6,365,10000000.0,0.07322796217669018,0.002165628488929344,0.008122829480253977,0.05730750894283218,0.08914841541054819,9.973150255945831e-05,2949
6,365,100000000.0,0.06496754426128043,0.00013062793350643184,0.004191056121668532,0.05675322520562399,0.07318186331693688,-0.010624674406846673,2950
7,365,10000.0,0.05795624750599686,0.001536965219025759,0.003157009394003094,0.05176862279489617,0.06414387221709754,1.7523584919483696e-05,2949
7,365,100000.0,0.057483021835269564,0.0022214778302526257,0.003705249506325874,0.050220866249136034,0.0647451774214031,-1.5571746623587656e-05,2949
