driver,radius_km,estimate,ci_low,ci_high,sd_outcome,evalue,evalue_ci_low
shift_+10pct,1,6.425842060050558e-05,-0.0007745037423924,0.0009030205835934,0.055596726359960116,1.0335089776744217,1.0
shift_+10pct,2,0.0001341716109198,-0.0027312576768134,0.0029996008986532,0.11091624008130052,1.0343070538105517,1.0
shift_+10pct,3,-0.0001391186379958,-0.0016289573437974,0.0013507200678056,0.16968438985004256,1.0280760928359802,1.0
shift_+10pct,4,0.0001105601957246,-0.0049214305493512,0.0051425509408006,0.2185555476215477,1.0219233811896902,1.0
shift_+10pct,5,0.0013225042731656,-0.0017224450855574,0.0043674536318886,0.26249432770824777,1.072539574948414,1.0
shift_+10pct,6,0.001711061016988,-0.0005323202265823,0.0039544422605584,0.30460952642185696,1.0768954206809174,1.0
shift_+10pct,7,0.0014065175978727,-0.0005139273825823,0.0033269625783278,0.34829506610411026,1.064469448027239,1.0
shift_+10pct,8,0.0016337886259154,-0.0022688766033257,0.0055364538551567,0.3901899232680498,1.0657220317678584,1.0
shift_+10pct,9,0.0021610763141954,-0.0016472720461383,0.0059694246745292,0.43130640151591776,1.0723260575230753,1.0
shift_+10pct,10,0.0019446527010239,-0.0020366285393217,0.0059259339413697,0.4655737524797799,1.0656362738101408,1.0
shift_+10pct,11,0.0034394572621608,-0.0005026871779656,0.0073816017022873,0.4969771743060148,1.0860527874466304,1.0
shift_+10pct,12,0.0026010342260687,-0.0038217565891739,0.0090238250413114,0.5255178133753083,1.0718532655091848,1.0
shift_+10pct,13,0.0031837918172625,-0.0028861330987312,0.0092537167332564,0.5523384370836952,1.0779700519205329,1.0
shift_+10pct,14,0.0030276093079147,-0.0034251238943218,0.0094803425101513,0.5785294347116783,1.0740299434542326,1.0
shift_+10pct,15,0.0043496152167841,-0.0013901077299376,0.0100893381635059,0.6036756143983257,1.0879512979546988,1.0
shift_+10pct,16,0.0024571158323249,-0.0091101608901677,0.0140243925548176,0.6271743779789902,1.063440342968646,1.0
shift_+10pct,17,0.0038124423627618,-0.0056031713787398,0.0132280561042636,0.6496691652637397,1.078723972761059,1.0
shift_+10pct,18,0.0040686650215457,-0.0053712763720511,0.0135086064151426,0.6724101676374616,1.0800329787554614,1.0
shift_+10pct,19,0.0053961445421497,-0.0058585043505739,0.0166507934348734,0.6928773790841715,1.0917459411628174,1.0
shift_+10pct,20,0.0049643835828227,-0.0078673396569798,0.0177961068226253,0.7117155432916157,1.0864188809408049,1.0
TE_p90_vs_p10,1,0.0024892104763638,0.0009368407307192,0.0043796247802674,0.055596726359960116,1.249703966026134,1.1407160997697312
TE_p90_vs_p10,2,0.0070879700753749,0.0031198622193187,0.0121477249776944,0.11091624008130052,1.3117927976635093,1.189019509065603
TE_p90_vs_p10,3,0.0129657199098032,0.0057453128043562,0.0219540180172771,0.16968438985004256,1.3498455477661075,1.210930321599614
TE_p90_vs_p10,4,0.0197419121032851,0.0069490333553403,0.0289346939418464,0.2185555476215477,1.3906510488983586,1.2031899990665156
TE_p90_vs_p10,5,0.0251530611690204,0.0058710036799311,0.0359533390030264,0.26249432770824777,1.4064165566740643,1.1654223451559647
TE_p90_vs_p10,6,0.0391320959841823,0.0068118976429104,0.0433714626356959,0.30460952642185696,1.497363058847118,1.165407450615502
TE_p90_vs_p10,7,0.031263964732537,0.0072777684777975,0.0432311910204589,0.34829506610411026,1.3890165738864795,1.1590726745947133
TE_p90_vs_p10,8,0.0365644528758213,0.0029259471222758,0.0491327437572181,0.3901899232680498,1.400370773741257,1.0898779823248286
TE_p90_vs_p10,9,0.0310048555367481,-0.0055477228015661,0.0472407093271613,0.43130640151591776,1.336254417959657,1.0
TE_p90_vs_p10,10,0.0259583185589966,-0.0045444110408425,0.048037065565586,0.4655737524797799,1.2860459042297585,1.0
TE_p90_vs_p10,11,0.0219716887932556,-0.0102752283215522,0.0530866866931319,0.4969771743060148,1.2477817863338565,1.0
TE_p90_vs_p10,12,0.0127459725295546,-0.0139367382973432,0.0505356676876545,0.5255178133753083,1.173361825280358,1.0
TE_p90_vs_p10,13,0.01597292832597,-0.0132992390543222,0.0498965710401535,0.5523384370836952,1.1921235690541239,1.0
TE_p90_vs_p10,14,0.0111652058639206,-0.0104336746037006,0.0496335785835981,0.5785294347116783,1.151998470829587,1.0
TE_p90_vs_p10,15,0.0141648403078819,-0.0093639954924583,0.0543250534683466,0.6036756143983257,1.170067551828007,1.0
TE_p90_vs_p10,16,0.0290920385445636,-0.0068224094808101,0.0624820727854967,0.6271743779789902,1.2551844988222989,1.0
TE_p90_vs_p10,17,0.0377367210661105,-0.0017236664891242,0.0715927775949239,0.6496691652637397,1.2935010819567307,1.0
TE_p90_vs_p10,18,0.0371498859225927,0.0040252465754747,0.0795483849942684,0.6724101676374616,1.2844144512771587,1.0795719907865766
TE_p90_vs_p10,19,0.0405468380333847,0.0014269940555095,0.0857066214084625,0.6928773790841715,1.2948791386808132,1.0452284120824014
TE_p90_vs_p10,20,0.0360930519087699,0.0020172022283077,0.0884565889835357,0.7117155432916157,1.2696276241814641,1.0534666546292424
dose_at_7,3,0.0222856429234497,0.0163791787064038,0.0281921071404955,0.16968438985004256,1.5051933147348702,1.408424913152719
dose_at_7,4,0.0359992123822748,0.0276181912845311,0.0443802334800184,0.2185555476215477,1.5951292587768928,1.4916206389318307
dose_at_7,8,0.1035575768704235,0.086655038903721,0.120460114837126,0.3901899232680498,1.8629290348834744,1.7475379485709681
dose_at_7,7,0.0933864702851446,0.0770960819979606,0.1096768585723286,0.34829506610411026,1.87021918248379,1.745596739511281
dose_at_7,10,0.1461726079642471,0.1277044734996093,0.1646407424288849,0.4655737524797799,1.994073789255085,1.8867700991432004
dose_at_7,5,0.0532248832082957,0.0429824390602788,0.0634673273563127,0.26249432770824777,1.6962963259773225,1.59254293052426
dose_at_7,1,0.0049589601792162,0.0031630087327004,0.0067549116257319,0.055596726359960116,1.387375760979418,1.2896911337140957
dose_at_7,9,0.1227108699041496,0.1038350814810444,0.1415866583272548,0.43130640151591776,1.9142458319761118,1.7971236666364667
dose_at_7,6,0.0765779952638104,0.0625447308312669,0.0906112596963538,0.30460952642185696,1.8255016842569118,1.703090031990264
dose_at_7,2,0.0115015191754151,0.0082217128606752,0.0147813254901551,0.11091624008130052,1.4287331784508455,1.3430038173878867
dose_at_7,14,0.2035287037018441,0.1839310876970135,0.2231263197066746,0.5785294347116783,2.098220550623201,2.0049010303519608
dose_at_7,11,0.1586359043453293,0.1403098795506087,0.1769619291400499,0.4969771743060148,2.008380002981607,1.9083654180758356
dose_at_7,13,0.1829844813873891,0.1634327097863747,0.2025362529884035,0.5523384370836952,2.0415237121545613,1.9449838587249904
dose_at_7,15,0.2179671153041443,0.1980827594680037,0.237851471140285,0.6036756143983257,2.124024066536241,2.0328341308612883
dose_at_7,12,0.1770308783850645,0.1579911968129865,0.1960705599571425,0.5255178133753083,2.056884919669522,1.9578429516418123
dose_at_7,19,0.3129148981338432,0.2893963838864443,0.3364334123812422,0.6928773790841715,2.3838569750956573,2.28473418706867
dose_at_7,17,0.2675422454654584,0.2453439550672678,0.289740535863649,0.6496691652637397,2.267839532640623,2.170535629558489
dose_at_7,20,0.3416095088339004,0.3173610467393546,0.3658579709284463,0.7117155432916157,2.468433210538663,2.367036996564724
dose_at_7,16,0.2519470707854841,0.230794052995142,0.2731000885758261,0.6271743779789902,2.2388802070426577,2.143396498515679
dose_at_7,18,0.2917495370128817,0.2684256978679489,0.3150733761578145,0.6724101676374616,2.3318056761110975,2.2316840447188406
