radius_km,M_thr,W,P_exceed,P_lo,P_hi
7,2.0,10000.0,1.24955449321007e-08,1.245417960260071e-08,1.2536910261600689e-08
7,2.0,10985.411419875572,1.2499196899717901e-08,1.2453742494386886e-08,1.2544651305048917e-08
7,2.0,12067.92640639329,1.2503209911862712e-08,1.245326081866324e-08,1.2553159005062183e-08
7,2.0,13257.113655901081,1.2507619828738825e-08,1.2452729912596817e-08,1.2562509744880834e-08
7,2.0,14563.484775012445,1.2512466063263616e-08,1.2452144557932563e-08,1.257278756859467e-08
7,2.0,15998.587196060573,1.2517792025157348e-08,1.2451498996335842e-08,1.2584085053978855e-08
7,2.0,17575.10624854793,1.2523645231965475e-08,1.2450786564420202e-08,1.2596503899510747e-08
7,2.0,19306.977288832495,1.2530078308259363e-08,1.2450000163999575e-08,1.261015645251915e-08
7,2.0,21209.508879201927,1.2537148985636293e-08,1.2449131673694623e-08,1.2625166297577963e-08
7,2.0,23299.51810515372,1.2544920879875576e-08,1.2448172070848852e-08,1.26416696889023e-08
7,2.0,25595.479226995332,1.2553464046050067e-08,1.2447111256094363e-08,1.2659816836005771e-08
7,2.0,28117.68697974231,1.2562855533637673e-08,1.2445937792918926e-08,1.267977327435642e-08
7,2.0,30888.435964774784,1.2573180385722083e-08,1.2444638995188559e-08,1.2701721776255606e-08
7,2.0,33932.217718953296,1.2584532083081967e-08,1.2443200350599459e-08,1.2725863815564476e-08
7,2.0,37275.93720314938,1.259701398748092e-08,1.2441605819558892e-08,1.2752422155402949e-08
7,2.0,40949.15062380427,1.2610739563712059e-08,1.2439836771893786e-08,1.2781642355530332e-08
7,2.0,44984.32668969444,1.262583448902177e-08,1.2437872650087135e-08,1.2813796327956405e-08
7,2.0,49417.13361323838,1.2642437097198922e-08,1.243568978312124e-08,1.2849184411276603e-08
7,2.0,54286.754393238596,1.2660700154931703e-08,1.2433261321419794e-08,1.2888138988443612e-08
7,2.0,59636.23316594637,1.2680792305097555e-08,1.2430556595791024e-08,1.2931028014404086e-08
7,2.0,65512.85568595509,1.2702900176186915e-08,1.2427540862245645e-08,1.2978259490128186e-08
7,2.0,71968.56730011514,1.2727229603548551e-08,1.2424173834379183e-08,1.3030285372717919e-08
7,2.0,79060.43210907701,1.275400862699172e-08,1.2420409615832447e-08,1.3087607638150993e-08
7,2.0,86851.13737513521,1.2783489489187616e-08,1.2416195195574067e-08,1.3150783782801165e-08
7,2.0,95409.54763499944,1.2815951744293841e-08,1.2411469542023263e-08,1.3220433946564418e-08
7,2.0,104811.31341546852,1.2851705033511962e-08,1.2406161765111534e-08,1.329724830191239e-08
7,2.0,115139.53993264481,1.2891092970868101e-08,1.2400189684670561e-08,1.3381996257065641e-08
7,2.0,126485.52168552957,1.2934497362060426e-08,1.2393457901974473e-08,1.347553682214638e-08
7,2.0,138949.5494373136,1.2982342423306648e-08,1.2385854889489985e-08,1.357882995712331e-08
7,2.0,152641.79671752334,1.303509999939223e-08,1.2377249914367422e-08,1.3692950084417038e-08
7,2.0,167683.29368110065,1.3093296336030846e-08,1.2367490127912917e-08,1.3819102544148776e-08
7,2.0,184206.99693267164,1.3157517964046406e-08,1.2356395107160557e-08,1.3958640820932254e-08
7,2.0,202358.96477251555,1.3228420359112647e-08,1.2343752180622444e-08,1.411308853760285e-08
7,2.0,222299.64825261955,1.330673704558194e-08,1.2329309799947418e-08,1.4284164291216462e-08
7,2.0,244205.30945486497,1.339328969951481e-08,1.2312769011743377e-08,1.4473810387286242e-08
7,2.0,268269.57952797273,1.3489001138289325e-08,1.2293774297878991e-08,1.4684227978699658e-08
7,2.0,294705.170255181,1.3594909087366602e-08,1.2271900906594286e-08,1.491791726813892e-08
7,2.0,323745.754281764,1.371218338874769e-08,1.2246640381606122e-08,1.5177726395889257e-08
7,2.0,355648.03062231286,1.3842145540898798e-08,1.2217381980844599e-08,1.5466909100953e-08
7,2.0,390693.99370546127,1.3986292124457123e-08,1.2183390032932673e-08,1.5789194215981572e-08
7,2.0,429193.42601287784,1.4146321891672642e-08,1.21437751071096e-08,1.6148868676235684e-08
7,2.0,471486.63634573895,1.4324169073098858e-08,1.2097459136068676e-08,1.655087901012904e-08
7,2.0,517947.46792312124,1.4522042124376355e-08,1.2043130635656344e-08,1.7000953613096366e-08
