radius_km,M_thr,W,P_exceed,P_lo,P_hi
1,2.0,10000.0,0.0,0.0,4.473780729036285e-149
1,2.0,10985.411419875572,0.0,0.0,4.9175008169413435e-149
1,2.0,12067.92640639329,0.0,0.0,5.4055409168020375e-149
1,2.0,13257.113655901081,0.0,0.0,5.942392173959766e-149
1,2.0,14563.484775012445,0.0,0.0,6.533014123432234e-149
1,2.0,15998.587196060573,0.0,0.0,7.182886260409417e-149
1,2.0,17575.10624854793,0.0,0.0,7.898065836581689e-149
1,2.0,19306.977288832495,0.0,0.0,8.685252740364173e-149
1,2.0,21209.508879201927,0.0,0.0,9.551862456844617e-149
1,2.0,23299.51810515372,0.0,0.0,1.0506108266496895e-148
1,2.0,25595.479226995332,0.0,0.0,1.1557094035626092e-148
1,2.0,28117.68697974231,0.0,0.0,1.2714919182630717e-148
1,2.0,30888.435964774784,0.0,0.0,1.399079768027066e-148
1,2.0,33932.217718953296,0.0,0.0,1.5397193285190666e-148
1,2.0,37275.93720314938,0.0,0.0,1.6947973583749443e-148
1,2.0,40949.15062380427,0.0,0.0,1.865858592300685e-148
1,2.0,44984.32668969444,0.0,0.0,2.0546258875742496e-148
1,2.0,49417.13361323838,0.0,0.0,2.263023359223456e-148
1,2.0,54286.754393238596,0.0,0.0,2.4932030247750153e-148
1,2.0,59636.23316594637,0.0,0.0,2.747575584014178e-148
1,2.0,65512.85568595509,0.0,0.0,3.028846087233679e-148
1,2.0,71968.56730011514,0.0,0.0,3.340055402792207e-148
1,2.0,79060.43210907701,0.0,0.0,3.6846285888386064e-148
1,2.0,86851.13737513521,0.0,0.0,4.066431514205642e-148
1,2.0,95409.54763499944,0.0,0.0,4.489837371768838e-148
1,2.0,104811.31341546852,0.0,0.0,4.9598050995430006e-148
1,2.0,115139.53993264481,0.0,0.0,5.4819721904750616e-148
1,2.0,126485.52168552957,0.0,0.0,6.0627649572860104e-148
1,2.0,138949.5494373136,0.0,0.0,6.709530057822014e-148
1,2.0,152641.79671752334,0.0,0.0,7.430692023617344e-148
1,2.0,167683.29368110065,0.0,0.0,8.235942728520205e-148
1,2.0,184206.99693267164,0.0,0.0,9.136470262954657e-148
1,2.0,202358.96477251555,0.0,0.0,1.0145236646359517e-147
1,2.0,222299.64825261955,0.0,0.0,1.1277316354533463e-147
1,2.0,244205.30945486497,0.0,0.0,1.255031094723513e-147
1,2.0,268269.57952797273,0.0,0.0,1.3984859408957484e-147
1,2.0,294705.170255181,0.0,0.0,1.5605269509331484e-147
1,2.0,323745.754281764,0.0,0.0,1.7440303027155762e-147
1,2.0,355648.03062231286,0.0,0.0,1.9524157724652397e-147
1,2.0,390693.99370546127,0.0,0.0,2.1897702429254104e-147
1,2.0,429193.42601287784,0.0,0.0,2.4610039775780604e-147
1,2.0,471486.63634573895,0.0,0.0,2.7720495919256616e-147
1,2.0,517947.46792312124,0.0,0.0,3.1301170472048784e-147
1,2.0,568986.6029018293,0.0,0.0,3.544022682773219e-147
1,2.0,625055.1925273977,0.0,0.0,4.0246168401006174e-147
1,2.0,686648.8450042998,0.0,0.0,4.585343819569539e-147
1,2.0,754312.0063354607,0.0,0.0,5.242980944491478e-147
1,2.0,828642.7728546843,0.0,0.0,6.018622170491817e-147
1,2.0,910298.1779915227,0.0,0.0,6.938998672670435e-147
1,2.0,1000000.0,0.0,0.0,8.038268296063439e-147
1,3.0,10000.0,0.0,0.0,0.0
1,3.0,10985.411419875572,0.0,0.0,0.0
1,3.0,12067.92640639329,0.0,0.0,0.0
1,3.0,13257.113655901081,0.0,0.0,0.0
1,3.0,14563.484775012445,0.0,0.0,0.0
1,3.0,15998.587196060573,0.0,0.0,0.0
1,3.0,17575.10624854793,0.0,0.0,0.0
1,3.0,19306.977288832495,0.0,0.0,0.0
1,3.0,21209.508879201927,0.0,0.0,0.0
1,3.0,23299.51810515372,0.0,0.0,0.0
1,3.0,25595.479226995332,0.0,0.0,0.0
1,3.0,28117.68697974231,0.0,0.0,0.0
1,3.0,30888.435964774784,0.0,0.0,0.0
1,3.0,33932.217718953296,0.0,0.0,0.0
1,3.0,37275.93720314938,0.0,0.0,0.0
1,3.0,40949.15062380427,0.0,0.0,0.0
1,3.0,44984.32668969444,0.0,0.0,0.0
1,3.0,49417.13361323838,0.0,0.0,0.0
1,3.0,54286.754393238596,0.0,0.0,0.0
1,3.0,59636.23316594637,0.0,0.0,0.0
1,3.0,65512.85568595509,0.0,0.0,0.0
1,3.0,71968.56730011514,0.0,0.0,0.0
1,3.0,79060.43210907701,0.0,0.0,0.0
1,3.0,86851.13737513521,0.0,0.0,0.0
1,3.0,95409.54763499944,0.0,0.0,0.0
1,3.0,104811.31341546852,0.0,0.0,0.0
1,3.0,115139.53993264481,0.0,0.0,0.0
1,3.0,126485.52168552957,0.0,0.0,0.0
1,3.0,138949.5494373136,0.0,0.0,0.0
1,3.0,152641.79671752334,0.0,0.0,0.0
1,3.0,167683.29368110065,0.0,0.0,0.0
1,3.0,184206.99693267164,0.0,0.0,0.0
1,3.0,202358.96477251555,0.0,0.0,0.0
1,3.0,222299.64825261955,0.0,0.0,0.0
1,3.0,244205.30945486497,0.0,0.0,0.0
1,3.0,268269.57952797273,0.0,0.0,0.0
1,3.0,294705.170255181,0.0,0.0,0.0
1,3.0,323745.754281764,0.0,0.0,0.0
1,3.0,355648.03062231286,0.0,0.0,0.0
1,3.0,390693.99370546127,0.0,0.0,0.0
1,3.0,429193.42601287784,0.0,0.0,0.0
1,3.0,471486.63634573895,0.0,0.0,0.0
1,3.0,517947.46792312124,0.0,0.0,0.0
1,3.0,568986.6029018293,0.0,0.0,0.0
1,3.0,625055.1925273977,0.0,0.0,0.0
1,3.0,686648.8450042998,0.0,0.0,0.0
1,3.0,754312.0063354607,0.0,0.0,0.0
1,3.0,828642.7728546843,0.0,0.0,0.0
1,3.0,910298.1779915227,0.0,0.0,0.0
1,3.0,1000000.0,0.0,0.0,0.0
1,4.0,10000.0,0.0,0.0,0.0
1,4.0,10985.411419875572,0.0,0.0,0.0
1,4.0,12067.92640639329,0.0,0.0,0.0
1,4.0,13257.113655901081,0.0,0.0,0.0
1,4.0,14563.484775012445,0.0,0.0,0.0
1,4.0,15998.587196060573,0.0,0.0,0.0
