radius_km,n,n_clusters,psi,se_cluster,ci_low,ci_high,pval,pval_bonferroni,pval_bh,mean_H,max_H,elapsed_sec
1,49519,42,6.172557245152205e-05,3.408820465205935e-05,-5.086080964144987e-06,0.0001285372258671,0.0701779424832436,1.0,0.1025677620908945,0.909090909090909,0.9090909090909092,19894.060880422592
2,49519,42,-0.0001603365697094,0.0001347990189087,-0.0004245377919219,0.0001038646525029,0.2342629951820669,1.0,0.2745301646094942,0.909090909090909,0.9090909090909092,20545.41963028908
3,49519,42,9.053373982780694e-06,0.0004385109222397,-0.0008504122404346,0.0008685189884001,0.9835282684586484,1.0,0.9835282684586485,0.909090909090909,0.9090909090909092,21176.72189307213
4,49519,42,0.0003143430712331,0.0002707464673467,-0.0002163102537078,0.0008449963961742,0.2456322525453369,1.0,0.27818730677870446,0.909090909090909,0.9090909090909092,21343.9639980793
5,49519,42,0.0003215171691885,0.0004005402244799,-0.0004635272451517,0.0011065615835287,0.4221430563979202,1.0,0.4455954484200269,0.909090909090909,0.9090909090909092,21528.30460548401
6,49519,42,0.0008954959709938,0.000565329853644,-0.0002125301815337,0.0020035221235214,0.1131882918935618,1.0,0.14337183639851162,0.909090909090909,0.9090909090909092,21565.14448451996
8,49519,42,0.0021861724607992,0.0010171896307269,0.0001925174191266,0.0041798275024717,0.0316163287889117,0.6007102469893223,0.052091957985301605,0.909090909090909,0.9090909090909092,21817.480049610134
9,49519,42,0.0024625609856161,0.0009012642967055,0.0006961154235214,0.0042290065477107,0.006288610222608,0.119483594229552,0.027939150899729585,0.909090909090909,0.9090909090909092,21474.15379524231
10,49519,42,0.0022454073274755,0.0008751244086012,0.0005301950046251,0.0039606196503259,0.0102933713841109,0.1955740562981071,0.035169225324273065,0.909090909090909,0.9090909090909092,20378.28824853897
11,49519,42,0.0019085162159679,0.0008946312605638,0.0001550711658191,0.0036619612661168,0.0329001839907168,0.6251034958236192,0.054610022453574755,0.909090909090909,0.9090909090909092,19938.10984158516
12,49519,42,0.001915641074286,0.0007555209354604,0.0004348472512176,0.0033964348973544,0.0112279400007193,0.2133308600136667,0.035512625419076745,0.909090909090909,0.9090909090909092,19115.88491511345
13,49519,42,0.0027232058844712,0.0009581132712602,0.0008453383796913,0.0046010733892511,0.0044795111146411,0.08511071117818089,0.0255968710684892,0.909090909090909,0.9090909090909092,18703.715705156326
14,49519,42,0.0020343802113069,0.0008383886770336,0.0003911685992747,0.0036775918233391,0.0152437426563103,0.2896311104698957,0.042555355589090446,0.909090909090909,0.9090909090909092,19061.06806898117
15,49519,42,0.0023787903227789,0.0008810683777269,0.0006519280345169,0.0041056526110409,0.0069361785470185,0.1317873923933515,0.03218123449665508,0.909090909090909,0.9090909090909092,19509.42063307762
16,49519,42,0.0020738073768816,0.0008818558085211,0.0003454017526226,0.0038022130011406,0.0186908554837246,0.35512625419076743,0.044015563662422305,0.909090909090909,0.9090909090909092,19021.413041591644
17,49519,42,0.0026579379444772,0.0009809261954696,0.0007353579298648,0.0045805179590895,0.006736018702234,0.127984355342446,0.029870898557388,0.909090909090909,0.9090909090909092,19054.363689899445
18,49519,42,0.003676957180005,0.0012070159221585,0.0013112494438079,0.0060426649162021,0.0023166086138117,0.044015563662422305,0.021964565398891914,0.909090909090909,0.9090909090909092,19056.32504916191
19,49519,42,0.0034863511167106,0.0012572176155819,0.0010222498694407,0.0059504523639804,0.0055530355775168,0.1055076759728192,0.026666357501708336,0.909090909090909,0.9090909090909092,18922.9465007782
20,49519,42,0.0024396857942035,0.0014440736249391,-0.0003906465017013,0.0052700180901084,0.0911338083608532,1.0,0.12368159706115792,0.909090909090909,0.9090909090909092,19208.951449155807
