radius_km,M_thr,W,P_exceed,P_lo,P_hi
5,2.0,10000.0,2.750022431996513e-13,2.738022243995434e-13,2.7620226199975916e-13
5,2.0,10985.411419875572,2.751132655021138e-13,2.73794541258379e-13,2.764319897458486e-13
5,2.0,12067.92640639329,2.752242878045763e-13,2.73775066623384e-13,2.7667350898576864e-13
5,2.0,13257.113655901081,2.753353101070388e-13,2.737426190197684e-13,2.7692800119430923e-13
5,2.0,14563.484775012445,2.7544633240950134e-13,2.736958964900264e-13,2.771967683289763e-13
5,2.0,15998.587196060573,2.7555735471196385e-13,2.736334638753327e-13,2.77481245548595e-13
5,2.0,17575.10624854793,2.757793993168889e-13,2.7366476096892e-13,2.778940376648578e-13
5,2.0,19306.977288832495,2.758904216193514e-13,2.7356599754833454e-13,2.7821484569036826e-13
5,2.0,21209.508879201927,2.7611246622427643e-13,2.7355729192211144e-13,2.786676405264414e-13
5,2.0,23299.51810515372,2.7633451082920146e-13,2.735254951956659e-13,2.79143526462737e-13
5,2.0,25595.479226995332,2.765565554341265e-13,2.7346825854950485e-13,2.7964485231874814e-13
5,2.0,28117.68697974231,2.7677860003905153e-13,2.733829863810682e-13,2.8017421369703487e-13
5,2.0,30888.435964774784,2.7700064464397656e-13,2.7326680876767513e-13,2.80734480520278e-13
5,2.0,33932.217718953296,2.773337115513641e-13,2.7322757283666097e-13,2.8143985026606723e-13
5,2.0,37275.93720314938,2.7766677845875165e-13,2.731507410495307e-13,2.821828158679726e-13
5,2.0,40949.15062380427,2.779998453661392e-13,2.730324188645016e-13,2.829672718677768e-13
5,2.0,44984.32668969444,2.7844393457598926e-13,2.7297931040060255e-13,2.8390855875137597e-13
5,2.0,49417.13361323838,2.788880237858393e-13,2.7287560133605045e-13,2.849004462356282e-13
5,2.0,54286.754393238596,2.793321129956894e-13,2.727159688610917e-13,2.859482571302871e-13
5,2.0,59636.23316594637,2.7988722450800196e-13,2.7260551689959265e-13,2.871689321164113e-13
5,2.0,65512.85568595509,2.8044233602031454e-13,2.724266353414247e-13,2.884580366992044e-13
5,2.0,71968.56730011514,2.8110846983508964e-13,2.7228300481773005e-13,2.899339348524492e-13
5,2.0,79060.43210907701,2.8188562595232725e-13,2.72166433008129e-13,2.9160481889652547e-13
5,2.0,86851.13737513521,2.8266278206956486e-13,2.7195674338332606e-13,2.9336882075580365e-13
5,2.0,95409.54763499944,2.8343993818680246e-13,2.7164369153968894e-13,2.95236184833916e-13
5,2.0,104811.31341546852,2.844391389089651e-13,2.7143783916456746e-13,2.9744043865336275e-13
5,2.0,115139.53993264481,2.8543833963112775e-13,2.711042481350623e-13,2.997724311271932e-13
5,2.0,126485.52168552957,2.866595849582154e-13,2.708504586462681e-13,3.0246871127016276e-13
5,2.0,138949.5494373136,2.878808302853031e-13,2.704380768852116e-13,3.0532358368539456e-13
5,2.0,152641.79671752334,2.893241202173158e-13,2.700706793375492e-13,3.085775610970824e-13
5,2.0,167683.29368110065,2.90878432451791e-13,2.696163342897593e-13,3.121405306138227e-13
5,2.0,184206.99693267164,2.9254376698872875e-13,2.6905131049655836e-13,3.1603622348089914e-13
5,2.0,202358.96477251555,2.944311461305915e-13,2.6845962628533955e-13,3.204026659758435e-13
5,2.0,222299.64825261955,2.965405698773793e-13,2.678104686217128e-13,3.252706711330458e-13
5,2.0,244205.30945486497,2.9887203822909214e-13,2.6706857491689534e-13,3.3067550154128895e-13
5,2.0,268269.57952797273,3.0142555118573e-13,2.661934650026953e-13,3.366576373687647e-13
5,2.0,294705.170255181,3.043121310497554e-13,2.6524953860820456e-13,3.4337472349130625e-13
5,2.0,323745.754281764,3.0742075551870585e-13,2.6407188998873553e-13,3.5076962104867617e-13
5,2.0,355648.03062231286,3.1097346919750635e-13,2.628200607580279e-13,3.591268776369848e-13
5,2.0,390693.99370546127,3.148592497836944e-13,2.6131024799135745e-13,3.6840825157603134e-13
5,2.0,429193.42601287784,3.191891195797325e-13,2.595683826638233e-13,3.788098564956417e-13
5,2.0,471486.63634573895,3.240741008880832e-13,2.5760557992360753e-13,3.9054262185255886e-13
5,2.0,517947.46792312124,3.2940317140628395e-13,2.5519299200701535e-13,4.0361335080555254e-13
5,2.0,568986.6029018293,3.353983757392598e-13,2.524130571843518e-13,4.183836942941678e-13
5,2.0,625055.1925273977,3.4217073618947325e-13,2.4921057530069215e-13,4.3513089707825434e-13
5,2.0,686648.8450042998,3.497202527569243e-13,2.4538662034422553e-13,4.540538851696231e-13
5,2.0,754312.0063354607,3.581579477440755e-13,2.408128755616486e-13,4.755030199265023e-13
5,2.0,828642.7728546843,3.6781688805831436e-13,2.355328313734295e-13,5.001009447431992e-13
5,2.0,910298.1779915227,3.785860513971784e-13,2.290830508767126e-13,5.280890519176442e-13
5,2.0,1000000.0,3.907985046680551e-13,2.213650770267981e-13,5.602319323093121e-13
5,3.0,10000.0,0.0,0.0,4.5622140617949046e-30
5,3.0,10985.411419875572,0.0,0.0,5.0143856238085056e-30
5,3.0,12067.92640639329,0.0,0.0,5.511655244791177e-30
5,3.0,13257.113655901081,0.0,0.0,6.05857927749081e-30
5,3.0,14563.484775012445,0.0,0.0,6.660186475094948e-30
5,3.0,15998.587196060573,0.0,0.0,7.322029442956777e-30
5,3.0,17575.10624854793,0.0,0.0,8.050242193351396e-30
5,3.0,19306.977288832495,0.0,0.0,8.85160462465166e-30
5,3.0,21209.508879201927,0.0,0.0,9.733614874866004e-30
5,3.0,23299.51810515372,0.0,0.0,1.070457065121545e-29
5,3.0,25595.479226995332,0.0,0.0,1.1773660817101256e-29
5,3.0,28117.68697974231,0.0,0.0,1.2951068731112033e-29
5,3.0,30888.435964774784,0.0,0.0,1.424808908671066e-29
5,3.0,33932.217718953296,0.0,0.0,1.567726030453835e-29
5,3.0,37275.93720314938,0.0,0.0,1.7252514892493273e-29
5,3.0,40949.15062380427,0.0,0.0,1.8989350625048404e-29
5,3.0,44984.32668969444,0.0,0.0,2.0905025918848047e-29
5,3.0,49417.13361323838,0.0,0.0,2.3018783416724238e-29
5,3.0,54286.754393238596,0.0,0.0,2.5352106561997104e-29
5,3.0,59636.23316594637,0.0,0.0,2.792901488074801e-29
5,3.0,65512.85568595509,0.0,0.0,3.077640483112852e-29
5,3.0,71968.56730011514,0.0,0.0,3.392444447534286e-29
5,3.0,79060.43210907701,0.0,0.0,3.7407031944538944e-29
5,3.0,86851.13737513521,0.0,0.0,4.126232977901685e-29
5,3.0,95409.54763499944,0.0,0.0,4.5533389837394176e-29
5,3.0,104811.31341546852,0.0,0.0,5.026888670837849e-29
5,3.0,115139.53993264481,0.0,0.0,5.552398159406659e-29
5,3.0,126485.52168552957,0.0,0.0,6.136134367938881e-29
5,3.0,138949.5494373136,0.0,0.0,6.785236233683636e-29
5,3.0,152641.79671752334,0.0,0.0,7.507859150204505e-29
5,3.0,167683.29368110065,0.0,0.0,8.313347766900736e-29
5,3.0,184206.99693267164,0.0,0.0,9.212443581872069e-29
5,3.0,202358.96477251555,0.0,0.0,1.0217535403850485e-28
5,3.0,222299.64825261955,0.0,0.0,1.134296287105228e-28
