radius_km,M_thr,W,P_exceed,P_lo,P_hi
11,2.0,10000.0,5.710981075990329e-05,5.6997115774501236e-05,5.7222505745305344e-05
11,2.0,10985.411419875572,5.711590429235969e-05,5.6992091755642824e-05,5.723971682907655e-05
11,2.0,12067.92640639329,5.7122598995484886e-05,5.698657079339032e-05,5.725862719757945e-05
11,2.0,13257.113655901081,5.7129954255219495e-05,5.698050353070547e-05,5.727940497973352e-05
11,2.0,14563.484775012445,5.713803534046491e-05,5.697383566735887e-05,5.730223501357095e-05
11,2.0,15998.587196060573,5.7146913987726755e-05,5.696650745485138e-05,5.7327320520602134e-05
11,2.0,17575.10624854793,5.715666904693162e-05,5.695845314037379e-05,5.735488495348945e-05
11,2.0,19306.977288832495,5.716738719119263e-05,5.6949600350542506e-05,5.7385174031842757e-05
11,2.0,21209.508879201927,5.717916369862852e-05,5.693986940958512e-05,5.741845798767192e-05
11,2.0,23299.51810515372,5.7192103314118725e-05,5.6929172584855264e-05,5.7455034043382186e-05
11,2.0,25595.479226995332,5.720632119743385e-05,5.691741324933262e-05,5.7495229145535084e-05
11,2.0,28117.68697974231,5.7221943969842926e-05,5.690448495440711e-05,5.753940298527874e-05
11,2.0,30888.435964774784,5.723911086652489e-05,5.68902703991777e-05,5.758795133387208e-05
11,2.0,33932.217718953296,5.7257975007773965e-05,5.687464028554411e-05,5.764130973000382e-05
11,2.0,37275.93720314938,5.7278704801766445e-05,5.685745204516328e-05,5.769995755836961e-05
11,2.0,40949.15062380427,5.730148549254466e-05,5.6838548421814154e-05,5.776442256327516e-05
11,2.0,44984.32668969444,5.732652086831713e-05,5.681775589023872e-05,5.783528584639554e-05
11,2.0,49417.13361323838,5.735403514994797e-05,5.679488289279289e-05,5.7913187407103046e-05
11,2.0,54286.754393238596,5.738427507651078e-05,5.6769717867044845e-05,5.799883228597672e-05
11,2.0,59636.23316594637,5.7417512213220334e-05,5.6742027039885874e-05,5.8092997386554794e-05
11,2.0,65512.85568595509,5.7454045503613216e-05,5.671155195330982e-05,5.819653905391661e-05
11,2.0,71968.56730011514,5.7494204096286694e-05,5.6678006687356305e-05,5.831040150521708e-05
11,2.0,79060.43210907701,5.753835047728195e-05,5.6641074737051585e-05,5.843562621751232e-05
11,2.0,86851.13737513521,5.7586883943083755e-05,5.660040549303575e-05,5.857336239313176e-05
11,2.0,95409.54763499944,5.764024445520377e-05,5.655561026863302e-05,5.872487864177452e-05
11,2.0,104811.31341546852,5.769891692319895e-05,5.650625780681541e-05,5.889157603958249e-05
11,2.0,115139.53993264481,5.7763435966862176e-05,5.6451869186494255e-05,5.9075002747230096e-05
11,2.0,126485.52168552957,5.7834391217093106e-05,5.6391912035192075e-05,5.927687039899414e-05
11,2.0,138949.5494373136,5.791243322594841e-05,5.6325793941072107e-05,5.949907251082472e-05
11,2.0,152641.79671752334,5.799828005959018e-05,5.625285493073696e-05,5.97437051884434e-05
11,2.0,167683.29368110065,5.809272466805737e-05,5.6172358863920626e-05,6.001309047219412e-05
11,2.0,184206.99693267164,5.819664313111428e-05,5.6083483559112875e-05,6.030980270311568e-05
11,2.0,202358.96477251555,5.831100390207844e-05,5.598530943597584e-05,6.063669836818104e-05
11,2.0,222299.64825261955,5.843687818596344e-05,5.5876806413760026e-05,6.099694995816685e-05
11,2.0,244205.30945486497,5.8575451612474794e-05,5.575681875550526e-05,6.139408446944433e-05
11,2.0,268269.57952797273,5.872803739059851e-05,5.5624047485016165e-05,6.183202729618085e-05
11,2.0,294705.170255181,5.889609116338512e-05,5.547702992756679e-05,6.231515239920346e-05
11,2.0,323745.754281764,5.9081227818391646e-05,5.53141158309393e-05,6.284833980584399e-05
11,2.0,355648.03062231286,5.928524055542894e-05,5.513343940954123e-05,6.343704170131666e-05
11,2.0,390693.99370546127,5.9510122566774903e-05,5.493288651202348e-05,6.408735862152633e-05
11,2.0,429193.42601287784,5.975809175051694e-05,5.471005593792405e-05,6.480612756310983e-05
11,2.0,471486.63634573895,6.0031618958289457e-05,5.4462213713381466e-05,6.560102420319745e-05
11,2.0,517947.46792312124,6.033346037337406e-05,5.418623886475324e-05,6.648068188199488e-05
11,2.0,568986.6029018293,6.0666694733479964e-05,5.387855889353158e-05,6.745483057342835e-05
11,2.0,625055.1925273977,6.1034766254963735e-05,5.3535072733559343e-05,6.853445977636812e-05
11,2.0,686648.8450042998,6.14415342932162e-05,5.315105844383914e-05,6.973201014259324e-05
11,2.0,754312.0063354607,6.189133098921662e-05,5.272106222041798e-05,7.106159975801527e-05
11,2.0,828642.7728546843,6.238902842103933e-05,5.2238764465043646e-05,7.253929237703501e-05
11,2.0,910298.1779915227,6.294011711227565e-05,5.16968175720311e-05,7.41834166525202e-05
11,2.0,1000000.0,6.355079816422471e-05,5.108664871963185e-05,7.601494760881757e-05
11,3.0,10000.0,1.6212556852579496e-09,1.6165011494003556e-09,1.6260102211155436e-09
11,3.0,10985.411419875572,1.6215128129104528e-09,1.616288953279716e-09,1.6267366725411896e-09
11,3.0,12067.92640639329,1.6217952536479174e-09,1.6160556556368543e-09,1.6275348516589806e-09
11,3.0,13257.113655901081,1.6221056720056026e-09,1.615799312693659e-09,1.6284120313175462e-09
11,3.0,14563.484775012445,1.622446621496465e-09,1.6155174083772014e-09,1.6293758346157287e-09
11,3.0,15998.587196060573,1.622821321767276e-09,1.6152075845347493e-09,1.6304350589998027e-09
11,3.0,17575.10624854793,1.6232331034871095e-09,1.6148670339463387e-09,1.6315991730278802e-09
11,3.0,19306.977288832495,1.6236854083473418e-09,1.6144924429632542e-09,1.6328783737314293e-09
11,3.0,21209.508879201927,1.624182566217769e-09,1.6140807051984398e-09,1.634284427237098e-09
11,3.0,23299.51810515372,1.624728906968187e-09,1.6136279630822693e-09,1.6358298508541046e-09
11,3.0,25595.479226995332,1.6253292045576018e-09,1.6131299741014897e-09,1.6375284350137138e-09
11,3.0,28117.68697974231,1.625988899078834e-09,1.612582246523416e-09,1.639395551634252e-09
11,3.0,30888.435964774784,1.6267139857362167e-09,1.6119798325809194e-09,1.641448138891514e-09
11,3.0,33932.217718953296,1.6275107928009902e-09,1.6113170000265143e-09,1.6437045855754661e-09
11,3.0,37275.93720314938,1.6283865367228145e-09,1.6105876689427251e-09,1.646185404502904e-09
11,3.0,40949.15062380427,1.629349211107467e-09,1.609785169048126e-09,1.648913253166808e-09
11,3.0,44984.32668969444,1.6304073646722372e-09,1.6089018709315608e-09,1.6519128584129136e-09
11,3.0,49417.13361323838,1.631570545335137e-09,1.6079294664490654e-09,1.6552116242212086e-09
11,3.0,54286.754393238596,1.6328491891925978e-09,1.60685867483337e-09,1.6588397035518256e-09
11,3.0,59636.23316594637,1.6342550646086806e-09,1.6056794822026396e-09,1.6628306470147216e-09
11,3.0,65512.85568595509,1.6358008281258662e-09,1.6043804682528773e-09,1.6672211879988552e-09
11,3.0,71968.56730011514,1.6375005795765674e-09,1.6029491041292174e-09,1.6720520550239173e-09
11,3.0,79060.43210907701,1.6393697510608263e-09,1.6013713522165879e-09,1.6773681499050647e-09
11,3.0,86851.13737513521,1.6414254400132222e-09,1.599631673507196e-09,1.6832192065192485e-09
11,3.0,95409.54763499944,1.6436867422697787e-09,1.5977129931294825e-09,1.689660491410075e-09
11,3.0,104811.31341546852,1.6461741969564514e-09,1.595595729628362e-09,1.6967526642845408e-09
11,3.0,115139.53993264481,1.6489111187567573e-09,1.5932586562411548e-09,1.7045635812723599e-09
11,3.0,126485.52168552957,1.651922820755658e-09,1.5906775887581396e-09,1.7131680527531764e-09
11,3.0,138949.5494373136,1.6552375026179789e-09,1.5878256645624704e-09,1.7226493406734874e-09
11,3.0,152641.79671752334,1.6588862505884094e-09,1.5846726472994258e-09,1.733099853877393e-09
11,3.0,167683.29368110065,1.6629035926030156e-09,1.5811846861643862e-09,1.744622499041645e-09
11,3.0,184206.99693267164,1.6673277203338444e-09,1.5773236245876817e-09,1.757331816080007e-09
11,3.0,202358.96477251555,1.6722010443004365e-09,1.5730465040727143e-09,1.7713555845281587e-09
11,3.0,222299.64825261955,1.6775705269367336e-09,1.568304683633142e-09,1.786836370240325e-09
11,3.0,244205.30945486497,1.6834884597471955e-09,1.563043211547468e-09,1.803933707946923e-09
11,3.0,268269.57952797273,1.6900130184183126e-09,1.5571997477787614e-09,1.8228262890578638e-09
11,3.0,294705.170255181,1.6972089289524206e-09,1.5507033270926103e-09,1.843714530812231e-09
11,3.0,323745.754281764,1.7051482448238175e-09,1.5434729105526218e-09,1.8668235790950133e-09
11,3.0,355648.03062231286,1.7139115682240913e-09,1.5354159946224101e-09,1.8924071418257722e-09
11,3.0,390693.99370546127,1.7235890492628414e-09,1.526426533565695e-09,1.920751564959988e-09
11,3.0,429193.42601287784,1.7342813851684014e-09,1.516382301099689e-09,1.9521804692371137e-09
11,3.0,471486.63634573895,1.7461019297115854e-09,1.5051426829596346e-09,1.9870611764635364e-09
11,3.0,517947.46792312124,1.7591775813841082e-09,1.4925444220260823e-09,2.025810740742134e-09
11,3.0,568986.6029018293,1.7736516699784488e-09,1.4783983529567202e-09,2.0689049870001777e-09
11,3.0,625055.1925273977,1.7896856219223878e-09,1.462483678441155e-09,2.1168875654036206e-09
11,3.0,686648.8450042998,1.8074622909480809e-09,1.4445423872898006e-09,2.1703821946063614e-09
11,3.0,754312.0063354607,1.8271887336496206e-09,1.4242712329555874e-09,2.230106234343654e-09
11,3.0,828642.7728546843,1.8491007613974375e-09,1.4013131468233745e-09,2.2968883759715007e-09
11,3.0,910298.1779915227,1.8734667150965834e-09,1.3752449509500507e-09,2.371688479243116e-09
11,3.0,1000000.0,1.9005941265248794e-09,1.345564289702075e-09,2.455623963347684e-09
11,4.0,10000.0,7.771561172376096e-16,7.742837258658005e-16,7.800285086094186e-16
11,4.0,10985.411419875572,7.771561172376096e-16,7.740000203536135e-16,7.803122141216057e-16
11,4.0,12067.92640639329,7.771561172376096e-16,7.736882221873339e-16,7.806240122878853e-16
11,4.0,13257.113655901081,7.771561172376096e-16,7.733455349076884e-16,7.809666995675307e-16
11,4.0,14563.484775012445,7.771561172376096e-16,7.729688806441901e-16,7.81343353831029e-16
11,4.0,15998.587196060573,7.771561172376096e-16,7.725548711699583e-16,7.817573633052608e-16
11,4.0,17575.10624854793,7.771561172376096e-16,7.720997758511472e-16,7.82212458624072e-16
11,4.0,19306.977288832495,7.771561172376096e-16,7.715994861320046e-16,7.827127483432146e-16
11,4.0,21209.508879201927,7.771561172376096e-16,7.710494761500482e-16,7.832627583251709e-16
11,4.0,23299.51810515372,7.771561172376096e-16,7.704447590223499e-16,7.838674754528693e-16
11,4.0,25595.479226995332,7.771561172376096e-16,7.697798382822626e-16,7.845323961929566e-16
11,4.0,28117.68697974231,7.771561172376096e-16,7.690486538746784e-16,7.852635806005408e-16
11,4.0,30888.435964774784,7.771561172376096e-16,7.682445220353531e-16,7.86067712439866e-16
11,4.0,33932.217718953296,7.771561172376096e-16,7.67360068283924e-16,7.869521661912951e-16
11,4.0,37275.93720314938,7.771561172376096e-16,7.66387152648526e-16,7.879250818266932e-16
11,4.0,40949.15062380427,7.771561172376096e-16,7.653167861093863e-16,7.889954483658329e-16
11,4.0,44984.32668969444,7.771561172376096e-16,7.641390370958912e-16,7.901731973793279e-16
11,4.0,49417.13361323838,7.771561172376096e-16,7.628429266920109e-16,7.914693077832082e-16
11,4.0,54286.754393238596,7.771561172376096e-16,7.614163109933943e-16,7.928959234818248e-16
11,4.0,59636.23316594637,7.771561172376096e-16,7.59845748809501e-16,7.944664856657182e-16
11,4.0,65512.85568595509,7.771561172376096e-16,7.581163526080213e-16,7.961958818671978e-16
11,4.0,71968.56730011514,7.771561172376096e-16,7.5621162024704e-16,7.981006142281792e-16
11,4.0,79060.43210907701,7.771561172376096e-16,7.541132446212199e-16,8.001989898539993e-16
11,4.0,86851.13737513521,7.771561172376096e-16,7.518008978474088e-16,8.025113366278104e-16
11,4.0,95409.54763499944,7.771561172376096e-16,7.492519860148213e-16,8.050602484603979e-16
11,4.0,104811.31341546852,7.771561172376096e-16,7.464413698034992e-16,8.0787086467172e-16
11,4.0,115139.53993264481,7.771561172376096e-16,7.433410454050658e-16,8.109711890701534e-16
11,4.0,126485.52168552957,7.771561172376096e-16,7.399197791282492e-16,8.1439245534697e-16
11,4.0,138949.5494373136,7.771561172376096e-16,7.361426877963564e-16,8.181695466788628e-16
11,4.0,152641.79671752334,7.771561172376096e-16,7.319707554923797e-16,8.223414789828395e-16
11,4.0,167683.29368110065,7.771561172376096e-16,7.273602753139586e-16,8.269519591612606e-16
11,4.0,184206.99693267164,7.771561172376096e-16,7.222622024819927e-16,8.320500319932265e-16
11,4.0,202358.96477251555,7.771561172376096e-16,7.166214022986026e-16,8.376908321766166e-16
11,4.0,222299.64825261955,7.771561172376096e-16,7.103757729391313e-16,8.439364615360878e-16
11,4.0,244205.30945486497,7.771561172376096e-16,7.034552187195102e-16,8.50857015755709e-16
11,4.0,268269.57952797273,7.771561172376096e-16,6.957804440874222e-16,8.58531790387797e-16
11,4.0,294705.170255181,7.771561172376096e-16,6.872615318643316e-16,8.670507026108875e-16
11,4.0,323745.754281764,7.771561172376096e-16,6.777962608554261e-16,8.76515973619793e-16
11,4.0,355648.03062231286,7.771561172376096e-16,6.672681073786215e-16,8.870441270965977e-16
11,4.0,390693.99370546127,7.771561172376096e-16,6.555438619330925e-16,8.987683725421267e-16
11,4.0,429193.42601287784,7.771561172376096e-16,6.424707753347646e-16,9.118414591404546e-16
11,4.0,471486.63634573895,7.771561172376096e-16,6.278731271407287e-16,9.264391073344906e-16
11,4.0,517947.46792312124,7.771561172376096e-16,6.115480816767666e-16,9.427641527984525e-16
11,4.0,568986.6029018293,7.771561172376096e-16,5.93260661622125e-16,9.610515728530942e-16
11,4.0,625055.1925273977,8.881784197001252e-16,6.83759925879775e-16,1.0925969135204754e-15
11,4.0,686648.8450042998,8.881784197001252e-16,6.606822618715124e-16,1.115674577528738e-15
11,4.0,754312.0063354607,8.881784197001252e-16,6.346759765789761e-16,1.1416808628212743e-15
11,4.0,828642.7728546843,8.881784197001252e-16,6.053006825935184e-16,1.1710561568067321e-15
11,4.0,910298.1779915227,8.881784197001252e-16,5.720354269644259e-16,1.2043214124358245e-15
11,4.0,1000000.0,8.881784197001252e-16,5.342609797894309e-16,1.2420958596108196e-15
11,5.0,10000.0,0.0,0.0,2.484912214719131e-26
11,5.0,10985.411419875572,0.0,0.0,2.7304932375923706e-26
11,5.0,12067.92640639329,0.0,0.0,3.0004221730556327e-26
11,5.0,13257.113655901081,0.0,0.0,3.2971289902388065e-26
11,5.0,14563.484775012445,0.0,0.0,3.623289483301925e-26
11,5.0,15998.587196060573,0.0,0.0,3.981850821375855e-26
11,5.0,17575.10624854793,0.0,0.0,4.37605989310716e-26
11,5.0,19306.977288832495,0.0,0.0,4.8094947793190634e-26
11,5.0,21209.508879201927,0.0,0.0,5.286099732472061e-26
11,5.0,23299.51810515372,0.0,0.0,5.810224093867494e-26
11,5.0,25595.479226995332,0.0,0.0,6.386665640165218e-26
11,5.0,28117.68697974231,0.0,0.0,7.020718921304653e-26
11,5.0,30888.435964774784,0.0,0.0,7.718229234180171e-26
11,5.0,33932.217718953296,0.0,0.0,8.485652972630905e-26
11,5.0,37275.93720314938,0.0,0.0,9.330125207158624e-26
11,5.0,40949.15062380427,0.0,0.0,1.0259535480528445e-25
11,5.0,44984.32668969444,0.0,0.0,1.128261296197312e-25
11,5.0,49417.13361323838,0.0,0.0,1.2409022287938413e-25
11,5.0,54286.754393238596,0.0,0.0,1.3649471637012581e-25
11,5.0,59636.23316594637,0.0,0.0,1.5015834848062916e-25
11,5.0,65512.85568595509,0.0,0.0,1.652128970246314e-25
11,5.0,71968.56730011514,0.0,0.0,1.8180474864442096e-25
11,5.0,79060.43210907701,0.0,0.0,2.0009668421395322e-25
11,5.0,86851.13737513521,0.0,0.0,2.20269915049822e-25
11,5.0,95409.54763499944,0.0,0.0,2.4252641124502124e-25
11,5.0,104811.31341546852,0.0,0.0,2.6709157131911344e-25
11,5.0,115139.53993264481,0.0,0.0,2.942172919482562e-25
11,5.0,126485.52168552957,0.0,0.0,3.241855081984809e-25
11,5.0,138949.5494373136,0.0,0.0,3.573122889389415e-25
11,5.0,152641.79671752334,0.0,0.0,3.9395258959200055e-25
11,5.0,167683.29368110065,0.0,0.0,4.345057858879464e-25
11,5.0,184206.99693267164,0.0,0.0,4.794221388561834e-25
11,5.0,202358.96477251555,0.0,0.0,5.292103742069292e-25
11,5.0,222299.64825261955,0.0,0.0,5.844466002127062e-25
11,5.0,244205.30945486497,0.0,0.0,6.4578483934490515e-25
11,5.0,268269.57952797273,0.0,0.0,7.1396951304923835e-25
11,5.0,294705.170255181,0.0,0.0,7.898502997866518e-25
11,5.0,323745.754281764,0.0,0.0,8.743998885683778e-25
11,5.0,355648.03062231286,0.0,0.0,9.687352799089383e-25
11,5.0,390693.99370546127,0.0,0.0,1.0741434516373495e-24
