radius_km,M_thr,W,P_exceed,P_lo,P_hi
6,2.0,10000.0,1.3094958450921013e-10,1.3043794016216655e-10,1.314612288562537e-10
6,2.0,10985.411419875572,1.3099366036328774e-10,1.3043141316637295e-10,1.3155590756020254e-10
6,2.0,12067.92640639329,1.310420660871614e-10,1.304241912809048e-10,1.31659940893418e-10
6,2.0,13257.113655901081,1.310953567923434e-10,1.3041632652775528e-10,1.3177438705693154e-10
6,2.0,14563.484775012445,1.3115386554574116e-10,1.3040759765855237e-10,1.3190013343292994e-10
6,2.0,15998.587196060573,1.3121814745886695e-10,1.303979488519534e-10,1.320383460657805e-10
6,2.0,17575.10624854793,1.3128886866553557e-10,1.3038737269622793e-10,1.3219036463484322e-10
6,2.0,19306.977288832495,1.3136658427725934e-10,1.3037568147162447e-10,1.323574870828942e-10
6,2.0,21209.508879201927,1.31451960427853e-10,1.3036272175883778e-10,1.3254119909686824e-10
6,2.0,23299.51810515372,1.315458852957363e-10,1.3034847716454955e-10,1.3274329342692304e-10
6,2.0,25595.479226995332,1.3164913603702644e-10,1.3033272598523251e-10,1.3296554608882036e-10
6,2.0,28117.68697974231,1.3176260083014313e-10,1.3031525288119315e-10,1.332099487790931e-10
6,2.0,30888.435964774784,1.3188727887580853e-10,1.3029583725620847e-10,1.334787204954086e-10
6,2.0,33932.217718953296,1.320245024416522e-10,1.3027446226014963e-10,1.3377454262315477e-10
6,2.0,37275.93720314938,1.3217538175069876e-10,1.3025074501455155e-10,1.3410001848684597e-10
6,2.0,40949.15062380427,1.3234136009288022e-10,1.3022447520838623e-10,1.3445824497737421e-10
6,2.0,44984.32668969444,1.325238807581286e-10,1.301952633920406e-10,1.348524981242166e-10
6,2.0,49417.13361323838,1.3272460908098083e-10,1.301627419428207e-10,1.3528647621914094e-10
6,2.0,54286.754393238596,1.3294554346288123e-10,1.3012665219655613e-10,1.3576443472920633e-10
6,2.0,59636.23316594637,1.3318868230527414e-10,1.3008648424090402e-10,1.3629088036964426e-10
6,2.0,65512.85568595509,1.334562460542088e-10,1.300416680544443e-10,1.368708240539733e-10
6,2.0,71968.56730011514,1.3375078822264186e-10,1.2999164924577234e-10,1.3750992719951138e-10
6,2.0,79060.43210907701,1.340749733458324e-10,1.2993562662079175e-10,1.3821432007087306e-10
6,2.0,86851.13737513521,1.3443213209285432e-10,1.2987306093439177e-10,1.3899120325131686e-10
6,2.0,95409.54763499944,1.34825484110479e-10,1.2980284436614206e-10,1.3984812385481596e-10
6,2.0,104811.31341546852,1.3525902620159513e-10,1.297241270784835e-10,1.4079392532470677e-10
6,2.0,115139.53993264481,1.3573675516909134e-10,1.2963546869129893e-10,1.4183804164688375e-10
6,2.0,126485.52168552957,1.3626344497197351e-10,1.2953553251157603e-10,1.42991357432371e-10
6,2.0,138949.5494373136,1.368443136584574e-10,1.2942265579174582e-10,1.4426597152516897e-10
6,2.0,152641.79671752334,1.374852454105735e-10,1.2929495868654104e-10,1.4567553213460595e-10
6,2.0,167683.29368110065,1.3819267952186465e-10,1.29150100477814e-10,1.472352585659153e-10
6,2.0,184206.99693267164,1.3897405448659583e-10,1.2898556726211073e-10,1.4896254171108094e-10
6,2.0,202358.96477251555,1.398372528882419e-10,1.2879793189077993e-10,1.5087657388570385e-10
6,2.0,222299.64825261955,1.4079160060020968e-10,1.2858363363001227e-10,1.5299956757040708e-10
6,2.0,244205.30945486497,1.4184731167432574e-10,1.2833816142451711e-10,1.5535646192413436e-10
6,2.0,268269.57952797273,1.4301604345234864e-10,1.2805629597765424e-10,1.5797579092704305e-10
6,2.0,294705.170255181,1.4431067452136404e-10,1.2773151161888643e-10,1.6088983742384164e-10
6,2.0,323745.754281764,1.457460818699019e-10,1.273562996921295e-10,1.641358640476743e-10
6,2.0,355648.03062231286,1.4733914088793654e-10,1.2692161866825226e-10,1.6775666310762082e-10
6,2.0,390693.99370546127,1.491086143445841e-10,1.2641611375151598e-10,1.7180111493765224e-10
6,2.0,429193.42601287784,1.510764846557322e-10,1.258266305416939e-10,1.763263387697705e-10
6,2.0,471486.63634573895,1.5326739877252749e-10,1.251366540036843e-10,1.8139814354137067e-10
6,2.0,517947.46792312124,1.5571011147130775e-10,1.2432650952266091e-10,1.870937134199546e-10
6,2.0,568986.6029018293,1.58437263308997e-10,1.233715988943906e-10,1.9350292772360338e-10
6,2.0,625055.1925273977,1.6148693493533983e-10,1.2224203039578768e-10,2.0073183947489199e-10
6,2.0,686648.8450042998,1.649032022044139e-10,1.2090075927052786e-10,2.0890564513829994e-10
6,2.0,754312.0063354607,1.6873746844225934e-10,1.1930187249881988e-10,2.181730643856988e-10
6,2.0,828642.7728546843,1.7304990773681084e-10,1.173881626659156e-10,2.2871165280770607e-10
6,2.0,910298.1779915227,1.7791146333934194e-10,1.1508818244381765e-10,2.407347442348662e-10
6,2.0,1000000.0,1.8340562402130445e-10,1.1231166264079538e-10,2.5449958540181354e-10
6,3.0,10000.0,0.0,0.0,3.652444665043342e-24
6,3.0,10985.411419875572,0.0,0.0,4.014355497620856e-24
6,3.0,12067.92640639329,0.0,0.0,4.412343181507209e-24
6,3.0,13257.113655901081,0.0,0.0,4.850048735578716e-24
6,3.0,14563.484775012445,0.0,0.0,5.331489878199248e-24
6,3.0,15998.587196060573,0.0,0.0,5.861101894461154e-24
6,3.0,17575.10624854793,0.0,0.0,6.443783319546215e-24
6,3.0,19306.977288832495,0.0,0.0,7.084947080618376e-24
6,3.0,21209.508879201927,0.0,0.0,7.790577839203443e-24
6,3.0,23299.51810515372,0.0,0.0,8.567296393370602e-24
6,3.0,25595.479226995332,0.0,0.0,9.42243213778086e-24
6,3.0,28117.68697974231,0.0,0.0,1.0364104744170087e-23
6,3.0,30888.435964774784,0.0,0.0,1.1401316420448967e-23
6,3.0,33932.217718953296,0.0,0.0,1.2544056339848307e-23
6,3.0,37275.93720314938,0.0,0.0,1.380341911049415e-23
6,3.0,40949.15062380427,0.0,0.0,1.5191739490367055e-23
6,3.0,44984.32668969444,0.0,0.0,1.6722745955076235e-23
6,3.0,49417.13361323838,0.0,0.0,1.8411736211475883e-23
6,3.0,54286.754393238596,0.0,0.0,2.0275778337803984e-23
6,3.0,59636.23316594637,0.0,0.0,2.233394194439194e-23
