radius_km,window_days,shift_pct,treatment_col,n,n_clusters,psi,se_iid,se_cluster,ci_low,ci_high,pval,epsilon,psi_under_shift,psi_no_shift,mean_H,max_H,elapsed_sec
1,365,0.1,cum_vol_365d_BBL,451212,389,0.0001501467990452465,9.554348842122751e-05,0.0001249383626814308,-9.472789209776097e-05,0.000395021490188254,0.22945382134191838,4.933339077951378e-05,0.003133669705389311,0.0029835229063440646,0.6865277991206097,4.745839248814964,4745.303599357605
2,365,0.1,cum_vol_365d_BBL,451212,389,0.000568695654529397,0.00017379395740936963,0.00023660155352330103,0.00010496513093750102,0.0010324261781212928,0.01623449601709437,0.00024263853098810992,0.010139464489054595,0.009570768834525198,0.6844798440180139,4.761514444562057,4842.319561481476
3,365,0.1,cum_vol_365d_BBL,451212,389,0.0007041312807219424,0.00024279067260770204,0.00041497809973229944,-0.00010921084912623514,0.00151747341057012,0.08973610071615967,0.00023002713686785266,0.01957362011340017,0.01886948883267823,0.6883918458343302,4.96915984002283,4877.435652732849
4,365,0.1,cum_vol_365d_BBL,451212,389,0.0022322423395505983,0.00030279512238043306,0.00052663181076725,0.0012000629573336754,0.003264421721767521,2.2480247808154274e-05,0.0009828313720787124,0.03189550644880796,0.029663264109257362,0.6842016193386711,4.851728468483078,4872.92661356926
5,365,0.1,cum_vol_365d_BBL,451212,389,0.0034953997056861794,0.0003486485921189443,0.0007493935038878686,0.00202661542781768,0.004964183983554679,3.09662136199762e-06,0.00161692328156656,0.04419029616162237,0.04069489645593619,0.6837149538371454,4.830033454489268,4842.271422863007
6,365,0.1,cum_vol_365d_BBL,451212,389,0.004239610729802064,0.00040164463123778285,0.0008725533677926327,0.002529437554339372,0.005949783905264756,1.1806626103449958e-06,0.002014748063710436,0.057989859115314575,0.05375024838551251,0.6848240569395676,4.78758135528409,4830.980430364609
7,365,0.1,cum_vol_365d_BBL,451212,389,0.0052768199140489636,0.00044588404356148213,0.0010578247919586098,0.0032035214198565132,0.007350118408241414,6.089132440489919e-07,0.0024403231742235252,0.07401546699403481,0.06873864707998585,0.6819200219188997,4.804043776580655,4938.967244148254
8,365,0.1,cum_vol_365d_BBL,451212,389,0.005883631645944409,0.0004914446445250585,0.0011264259455248393,0.0036758773614642476,0.00809138593042457,1.75786731615446e-07,0.002790404050776115,0.09076062587225552,0.0848769942263111,0.6848537456843831,4.827019324726668,4978.420679807663
9,365,0.1,cum_vol_365d_BBL,451212,389,0.00789298761431223,0.0005470018535746356,0.0013012944619292081,0.005342497335649553,0.010443477892974907,1.3155254663388405e-09,0.003726677042262465,0.1112020447190969,0.10330905710478468,0.68360410541103,4.887084934425319,4978.847475528717
10,365,0.1,cum_vol_365d_BBL,451212,389,0.00860304071689412,0.0005824543264275657,0.001392749277664679,0.005873302293177174,0.011332779140611066,6.532263618908019e-10,0.004144301062856288,0.1301616491055859,0.12155860838869177,0.6834434099908775,4.830292644477105,5001.218019247055
11,365,0.1,cum_vol_365d_BBL,451212,389,0.009110078872535204,0.000621171081519044,0.0015006187089281796,0.006168920248508978,0.01205123749656143,1.272097538418393e-09,0.004407921258326503,0.1494937132923267,0.1403836344197915,0.686451656356477,4.908524350065378,5081.189754486084
12,365,0.1,cum_vol_365d_BBL,451212,389,0.00961716147566452,0.0006540881834239573,0.0016140491997531322,0.006453683174872686,0.012780639776456356,2.5470909825742183e-09,0.004687385434655801,0.1688738306658012,0.15925666919013667,0.6859806014075537,4.876712524514611,5083.323014259338
13,365,0.1,cum_vol_365d_BBL,451212,389,0.010557951539283045,0.0006777483000381211,0.001718183402027815,0.007190373952474023,0.013925529126092066,8.004725771115773e-10,0.005246229630181765,0.1882077602842243,0.17764980874494127,0.6829453301875559,4.735659900729411,5064.134494781494
14,365,0.1,cum_vol_365d_BBL,451212,389,0.01046335718105279,0.0007080884262264475,0.0018498618600209936,0.0068376945590373685,0.014089019803068212,1.5467903402566208e-08,0.005235260887327184,0.20655931591122892,0.19609595873017613,0.6844351870394442,4.769624390020105,5116.431978464127
15,365,0.1,cum_vol_365d_BBL,451212,389,0.011359329791387568,0.0007367264427698377,0.0019946412483176704,0.00744990478260692,0.015268754800168215,1.2342707744750214e-08,0.005665616554171708,0.22796539940991764,0.21660606961853007,0.6838522006535697,4.762775182700718,5148.756883144379
16,365,0.1,cum_vol_365d_BBL,451212,389,0.013185282691822953,0.000776902298892351,0.0021586983215068113,0.008954311728182536,0.01741625365546337,1.009010208719019e-09,0.006540692602332331,0.25163241741086007,0.2384471347190371,0.6855484490943652,4.832179177095651,5209.08629989624
17,365,0.1,cum_vol_365d_BBL,451212,389,0.014263048036747439,0.0007988398165232224,0.002304518244216346,0.00974627527636792,0.018779820797126957,6.048301859351568e-10,0.0069262008694032816,0.2737435391611548,0.25948049112440735,0.6839496676871627,4.817108332812167,3071.6341066360474
18,365,0.1,cum_vol_365d_BBL,451212,389,0.015009980533886191,0.0008240553712208805,0.0024596952030089734,0.010189066523042667,0.019830894544729714,1.045043607206253e-09,0.0073196365495576616,0.29738183628301,0.2823718557491238,0.6838347348443364,4.7510590821788705,3074.888377428055
19,365,0.1,cum_vol_365d_BBL,451212,389,0.016260944765612295,0.0008443003667309335,0.0025821728971933055,0.011199978885257969,0.02132191064596662,3.027027517532588e-10,0.007987308154572034,0.3196134637940439,0.3033525190284316,0.6831091922809965,4.770800458420333,3102.9491081237793
20,365,0.1,cum_vol_365d_BBL,451212,389,0.017410508744929,0.0008686846244923764,0.0027357879680662478,0.012048462858181137,0.02277255463167686,1.9658763505958632e-10,0.008432855961812367,0.34156824675607045,0.32415773801114145,0.685235454295023,4.809903889022358,3142.8108530044556
