radius_km,M_thr,W,P_exceed,P_lo,P_hi
8,2.0,10000.0,2.9111600974296437e-07,2.9028403877486083e-07,2.919479807110679e-07
8,2.0,10985.411419875572,2.911863178356455e-07,2.902721507139655e-07,2.9210048495732557e-07
8,2.0,12067.92640639329,2.91263573037881e-07,2.902590659973435e-07,2.9226808007841845e-07
8,2.0,13257.113655901081,2.913484637989683e-07,2.902446614469409e-07,2.9245226615099566e-07
8,2.0,14563.484775012445,2.9144174729101024e-07,2.9022880073410907e-07,2.926546938479114e-07
8,2.0,15998.587196060573,2.9154425629229763e-07,2.902113328011872e-07,2.9287717978340806e-07
8,2.0,17575.10624854793,2.9165690673682576e-07,2.9019209003324397e-07,2.9312172344040755e-07
8,2.0,19306.977288832495,2.917807061519895e-07,2.901708862945546e-07,2.9339052600942436e-07
8,2.0,21209.508879201927,2.919167633175235e-07,2.9014751504118706e-07,2.936860115938599e-07
8,2.0,23299.51810515372,2.920662982575095e-07,2.9012174648343065e-07,2.940108500315884e-07
8,2.0,25595.479226995332,2.922306536756736e-07,2.900933247512412e-07,2.9436798260010595e-07
8,2.0,28117.68697974231,2.9241130761192835e-07,2.9006196466163863e-07,2.9476065056221807e-07
8,2.0,30888.435964774784,2.926098874311833e-07,2.9002734799451766e-07,2.95192426867849e-07
8,2.0,33932.217718953296,2.9282818536646715e-07,2.899891192645921e-07,2.9566725146834223e-07
8,2.0,37275.93720314938,2.930681756163622e-07,2.899468807203647e-07,2.9618947051235974e-07
8,2.0,40949.15062380427,2.933320333298184e-07,2.899001865933201e-07,2.9676388006631666e-07
8,2.0,44984.32668969444,2.93622155922435e-07,2.8984853668365983e-07,2.973957751612102e-07
8,2.0,49417.13361323838,2.939411862801222e-07,2.8979136842427567e-07,2.980910041359688e-07
8,2.0,54286.754393238596,2.942920394044535e-07,2.8972804849635337e-07,2.988560303125536e-07
8,2.0,59636.23316594637,2.946779313894865e-07,2.896578623264165e-07,2.996980004525565e-07
8,2.0,65512.85568595509,2.9510241184027564e-07,2.8958000192112634e-07,3.0062482175942493e-07
8,2.0,71968.56730011514,2.955694003992093e-07,2.8949355194010625e-07,3.016452488583124e-07
8,2.0,79060.43210907701,2.960832277132397e-07,2.893974734401844e-07,3.0276898198629497e-07
8,2.0,86851.13737513521,2.9664868073098205e-07,2.8929058411997276e-07,3.0400677734199134e-07
8,2.0,95409.54763499944,2.972710538839962e-07,2.891715353662342e-07,3.0537057240175826e-07
8,2.0,104811.31341546852,2.9795620726247307e-07,2.890387857269571e-07,3.06873628797989e-07
8,2.0,115139.53993264481,2.9871063111919227e-07,2.888905683786271e-07,3.0853069385975744e-07
8,2.0,126485.52168552957,2.9954151903321957e-07,2.887248528118895e-07,3.1035818525454967e-07
8,2.0,138949.5494373136,3.004568515097006e-07,2.885392999899546e-07,3.123744030294466e-07
8,2.0,152641.79671752334,3.0146548957166175e-07,2.8833120750752014e-07,3.1459977163580335e-07
8,2.0,167683.29368110065,3.025772820075545e-07,2.880974447661483e-07,3.1705711924896076e-07
8,2.0,184206.99693267164,3.0380318727374345e-07,2.8783437475633937e-07,3.197719997911475e-07
8,2.0,202358.96477251555,3.051554128274958e-07,2.8753775987477414e-07,3.227730657802175e-07
8,2.0,222299.64825261955,3.066475752211417e-07,2.872026486000205e-07,3.2609250184226293e-07
8,2.0,244205.30945486497,3.082948831778509e-07,2.8682323729955374e-07,3.297665290561481e-07
8,2.0,268269.57952797273,3.1011435008831967e-07,2.8639270386541406e-07,3.338359963112253e-07
8,2.0,294705.170255181,3.121250388149477e-07,2.859030040788826e-07,3.3834707355101275e-07
8,2.0,323745.754281764,3.1434834579791016e-07,2.853446228942492e-07,3.4335206870157113e-07
8,2.0,355648.03062231286,3.16808333344909e-07,2.847062711656536e-07,3.489103955241644e-07
8,2.0,390693.99370546127,3.195321164328746e-07,2.8397451128741646e-07,3.5508972157833274e-07
8,2.0,429193.42601287784,3.225503177883837e-07,2.8313329693244713e-07,3.619673386443203e-07
8,2.0,471486.63634573895,3.258976043474249e-07,2.82163404091597e-07,3.696318046032527e-07
8,2.0,517947.46792312124,3.2961332097070084e-07,2.8104172399790056e-07,3.781849179435011e-07
8,2.0,568986.6029018293,3.337422443960847e-07,2.7974038350021695e-07,3.877441052919524e-07
8,2.0,625055.1925273977,3.383354829633589e-07,2.78225645273679e-07,3.9844532065303883e-07
8,2.0,686648.8450042998,3.4345155464077237e-07,2.7645652672911963e-07,4.104465825524251e-07
8,2.0,754312.0063354607,3.491576865410906e-07,2.7438306022396063e-07,4.2393231285822054e-07
8,2.0,828642.7728546843,3.555313873304655e-07,2.7194408987449936e-07,4.391186847864317e-07
8,2.0,910298.1779915227,3.6266236047577394e-07,2.6906446965952554e-07,4.5626025129202233e-07
8,2.0,1000000.0,3.7065484359555256e-07,2.656514818309744e-07,4.7565820536013073e-07
8,3.0,10000.0,1.5765166949677223e-14,1.569812558692418e-14,1.5832208312430265e-14
8,3.0,10985.411419875572,1.5765166949677223e-14,1.5691493202223726e-14,1.583884069713072e-14
8,3.0,12067.92640639329,1.5765166949677223e-14,1.5684201855879237e-14,1.584613204347521e-14
8,3.0,13257.113655901081,1.5765166949677223e-14,1.5676185492868134e-14,1.5854148406486312e-14
8,3.0,14563.484775012445,1.5765166949677223e-14,1.5667371316162518e-14,1.5862962583191928e-14
8,3.0,15998.587196060573,1.5765166949677223e-14,1.5657679073809996e-14,1.587265482554445e-14
8,3.0,17575.10624854793,1.5765166949677223e-14,1.5647020265591508e-14,1.5883313633762938e-14
