radius_km,M_thr,W,P_exceed,P_lo,P_hi
10,2.0,10000.0,1.6869694236754107e-05,1.683304976684868e-05,1.6906338706659535e-05
10,2.0,10985.411419875572,1.6871885982649992e-05,1.6831625557084542e-05,1.6912146408215443e-05
10,2.0,12067.92640639329,1.68742940175326e-05,1.683006028788216e-05,1.6918527747183038e-05
10,2.0,13257.113655901081,1.6876939719190354e-05,1.682833991068185e-05,1.692553952769886e-05
10,2.0,14563.484775012445,1.6879846585493574e-05,1.682644896196447e-05,1.693324420902268e-05
10,2.0,15998.587196060573,1.688304044589195e-05,1.6824370417259386e-05,1.6941710474524515e-05
10,2.0,17575.10624854793,1.688654969445036e-05,1.6822085529564485e-05,1.6951013859336233e-05
10,2.0,19306.977288832495,1.689040554708754e-05,1.6819573650788936e-05,1.6961237443386143e-05
10,2.0,21209.508879201927,1.6894642323794784e-05,1.6816812032459896e-05,1.6972472615129672e-05
10,2.0,23299.51810515372,1.6899297760830656e-05,1.6813775605606287e-05,1.6984819916055025e-05
10,2.0,25595.479226995332,1.6904413354446035e-05,1.6810436735669012e-05,1.6998389973223058e-05
10,2.0,28117.68697974231,1.6910034739803237e-05,1.6806764949687687e-05,1.7013304529918787e-05
10,2.0,30888.435964774784,1.6916212109641116e-05,1.680272663309252e-05,1.7029697586189713e-05
10,2.0,33932.217718953296,1.692300067512864e-05,1.6798284690393446e-05,1.7047716659863836e-05
10,2.0,37275.93720314938,1.6930461176345446e-05,1.6793398167990634e-05,1.706752418470026e-05
10,2.0,40949.15062380427,1.6938660444609788e-05,1.6788021830887845e-05,1.708929905833173e-05
10,2.0,44984.32668969444,1.694767202553571e-05,1.6782105690338933e-05,1.7113238360732485e-05
10,2.0,49417.13361323838,1.6957576866816204e-05,1.6775594472938545e-05,1.7139559260693863e-05
10,2.0,54286.754393238596,1.6968464080058254e-05,1.6768427025102103e-05,1.7168501135014405e-05
10,2.0,59636.23316594637,1.6980431784330285e-05,1.6760535643010658e-05,1.7200327925649913e-05
10,2.0,65512.85568595509,1.699358804074791e-05,1.6751845317191624e-05,1.7235330764304194e-05
10,2.0,71968.56730011514,1.7008051889311204e-05,1.6742272879788468e-05,1.727383089883394e-05
10,2.0,79060.43210907701,1.7023954499650884e-05,1.6731726039492978e-05,1.731618295980879e-05
10,2.0,86851.13737513521,1.7041440449783174e-05,1.6720102287413246e-05,1.7362778612153102e-05
10,2.0,95409.54763499944,1.7060669148194485e-05,1.6707287653486894e-05,1.7414050642902076e-05
10,2.0,104811.31341546852,1.708181641724149e-05,1.6693155289938292e-05,1.747047754454469e-05
10,2.0,115139.53993264481,1.710507625896085e-05,1.6677563854539387e-05,1.7532588663382312e-05
10,2.0,126485.52168552957,1.713066282527098e-05,1.666035565918029e-05,1.7600969991361674e-05
10,2.0,138949.5494373136,1.715881262054353e-05,1.6641354545543242e-05,1.7676270695543815e-05
10,2.0,152641.79671752334,1.718978696718665e-05,1.6620363440730636e-05,1.775921049364266e-05
10,2.0,167683.29368110065,1.7223874770544434e-05,1.6597161537440658e-05,1.785058800364821e-05
10,2.0,184206.99693267164,1.726139562308049e-05,1.657150103020933e-05,1.7951290215951648e-05
10,2.0,202358.96477251555,1.730270329824979e-05,1.6543103329485404e-05,1.8062303267014173e-05
10,2.0,222299.64825261955,1.734818968812668e-05,1.6511654654547916e-05,1.8184724721705445e-05
10,2.0,244205.30945486497,1.7398289253067745e-05,1.647680089085899e-05,1.83197776152765e-05
10,2.0,268269.57952797273,1.745348405757241e-05,1.6438141567272686e-05,1.8468826547872135e-05
10,2.0,294705.170255181,1.7514309486155177e-05,1.639522278415707e-05,1.8633396188153284e-05
10,2.0,323745.754281764,1.758136074447858e-05,1.6347528881020614e-05,1.8815192607936546e-05
10,2.0,355648.03062231286,1.765530027497686e-05,1.6294472589991338e-05,1.901612795996238e-05
10,2.0,390693.99370546127,1.7736866235740223e-05,1.6235383359399746e-05,1.92383491120807e-05
10,2.0,429193.42601287784,1.7826882225735474e-05,1.616949346503737e-05,1.9484270986433578e-05
