radius_km,M_thr,W,P_exceed,P_lo,P_hi
9,2.0,10000.0,3.2818001158840815e-06,3.2736375597349246e-06,3.2899626720332384e-06
9,2.0,10985.411419875572,3.2823529220182834e-06,3.273384573242915e-06,3.2913212707936517e-06
9,2.0,12067.92640639329,3.2829603050510414e-06,3.273106460823657e-06,3.2928141492784257e-06
9,2.0,13257.113655901081,3.2836276641079465e-06,3.2728007056521715e-06,3.2944546225637215e-06
9,2.0,14563.484775012445,3.2843609352184444e-06,3.272464534921359e-06,3.2962573355155297e-06
9,2.0,15998.587196060573,3.285166644273474e-06,3.272094892002993e-06,3.298238396543955e-06
9,2.0,17575.10624854793,3.2860519667554655e-06,3.2716884068650485e-06,3.3004155266458825e-06
9,2.0,19306.977288832495,3.287024792908433e-06,3.2712413624582936e-06,3.302808223358572e-06
9,2.0,21209.508879201927,3.2880938002355364e-06,3.2707496578863436e-06,3.3054379425847292e-06
9,2.0,23299.51810515372,3.2892685319918513e-06,3.2702087658186285e-06,3.308328298165074e-06
9,2.0,25595.479226995332,3.2905594861132315e-06,3.2696136872241937e-06,3.311505285002269e-06
9,2.0,28117.68697974231,3.2919782109175344e-06,3.2689588982221837e-06,3.314997523612885e-06
9,2.0,30888.435964774784,3.2935374130182993e-06,3.268238292744523e-06,3.3188365332920758e-06
9,2.0,33932.217718953296,3.2952510751194097e-06,3.2674451166993485e-06,3.323057033539471e-06
9,2.0,37275.93720314938,3.2971345865773216e-06,3.2665718942695683e-06,3.327697278885075e-06
9,2.0,40949.15062380427,3.2992048886182346e-06,3.265610345666132e-06,3.332799431570337e-06
9,2.0,44984.32668969444,3.3014806340991854e-06,3.2645512932903395e-06,3.3384099749080312e-06
9,2.0,49417.13361323838,3.3039823651437317e-06,3.263384556273558e-06,3.3445801740139053e-06
9,2.0,54286.754393238596,3.306732710095517e-06,3.2620988309755175e-06,3.351366589215516e-06
9,2.0,59636.23316594637,3.309756601677094e-06,3.260681554880583e-06,3.3588316484736053e-06
9,2.0,65512.85568595509,3.3130815203508135e-06,3.2591187527522827e-06,3.3670442879493443e-06
9,2.0,71968.56730011514,3.316737763325861e-06,3.2573948595421083e-06,3.3760806671096137e-06
9,2.0,79060.43210907701,3.320758746094832e-06,3.255492520028729e-06,3.386024972160935e-06
9,2.0,86851.13737513521,3.325181336388816e-06,3.2533923570325313e-06,3.396970315745101e-06
9,2.0,95409.54763499944,3.3300462284335808e-06,3.2510727066928124e-06,3.409019750174349e-06
9,2.0,104811.31341546852,3.335398360837516e-06,3.2485093131324837e-06,3.422287408542548e-06
9,2.0,115139.53993264481,3.3412873836624613e-06,3.2456749751305096e-06,3.436899792194413e-06
9,2.0,126485.52168552957,3.347768182559996e-06,3.2425391374460305e-06,3.4529972276739613e-06
9,2.0,138949.5494373136,3.3549014671896416e-06,3.2390674159976486e-06,3.4707355183816345e-06
9,2.0,152641.79671752334,3.3627544329117853e-06,3.2352210445326178e-06,3.490287821290953e-06
9,2.0,167683.29368110065,3.371401506857552e-06,3.230956228484941e-06,3.511846785230163e-06
9,2.0,184206.99693267164,3.380925189921946e-06,3.2262233872590417e-06,3.5356269925848506e-06
9,2.0,202358.96477251555,3.3914170103344077e-06,3.220966264314245e-06,3.56186775635457e-06
9,2.0,222299.64825261955,3.4029786046829713e-06,3.215120877362332e-06,3.5908363320036106e-06
9,2.0,244205.30945486497,3.4157229479303552e-06,3.2086142777334718e-06,3.6228316181272387e-06
9,2.0,268269.57952797273,3.4297757548484853e-06,3.201363077898397e-06,3.6581884317985734e-06
9,2.0,294705.170255181,3.44527708306952e-06,3.1932717004038728e-06,3.6972824657351674e-06
9,2.0,323745.754281764,3.462383169838823e-06,3.18423028666696e-06,3.740536053010686e-06
9,2.0,355648.03062231286,3.481268544325289e-06,3.1741121931172034e-06,3.7884248955333743e-06
9,2.0,390693.99370546127,3.5021284646719053e-06,3.162770983683088e-06,3.841485945660723e-06
9,2.0,429193.42601287784,3.5251817365189453e-06,3.150036802878986e-06,3.900326670158904e-06
9,2.0,471486.63634573895,3.5506739872737114e-06,3.135711990750007e-06,3.965635983797416e-06
9,2.0,517947.46792312124,3.5788814801707147e-06,3.119565759592546e-06,4.038197200748884e-06
9,2.0,568986.6029018293,3.610115575591877e-06,3.1013277110843947e-06,4.118903440099359e-06
9,2.0,625055.1925273977,3.64472796765547e-06,3.0806799107039616e-06,4.208776024606978e-06
9,2.0,686648.8450042998,3.6831168567230677e-06,3.0572471638206206e-06,4.308986549625515e-06
9,2.0,754312.0063354607,3.725734253667845e-06,3.0305850380633246e-06,4.4208834692723655e-06
9,2.0,828642.7728546843,3.773094660597387e-06,3.0001650512980307e-06,4.546024269896744e-06
9,2.0,910298.1779915227,3.825785432676199e-06,2.9653562786896157e-06,4.6862145866627816e-06
9,2.0,1000000.0,3.884479201632374e-06,2.9254024138646078e-06,4.84355598940014e-06
9,3.0,10000.0,3.1975533332229134e-12,3.185719469363171e-12,3.209387197082656e-12
9,3.0,10985.411419875572,3.198330489340151e-12,3.185327309553402e-12,3.2113336691269e-12
9,3.0,12067.92640639329,3.199218667759851e-12,3.1849302849612858e-12,3.2135070505584164e-12
9,3.0,13257.113655901081,3.2002178684820137e-12,3.1845168388601455e-12,3.215918898103882e-12
9,3.0,14563.484775012445,3.2012170692041764e-12,3.1839632249570467e-12,3.218470913451306e-12
9,3.0,15998.587196060573,3.202438314531264e-12,3.183477475661978e-12,3.22139915340055e-12
9,3.0,17575.10624854793,3.2036595598583517e-12,3.1828221118776697e-12,3.2244970078390337e-12
