API Number,Nearest Fault Dist (km),Fault Segments <= 1 km,Fault Segments <= 2 km,Fault Segments <= 3 km,Fault Segments <= 4 km,Fault Segments <= 5 km,Fault Segments <= 6 km,Fault Segments <= 7 km,Fault Segments <= 8 km,Fault Segments <= 9 km,Fault Segments <= 10 km,Fault Segments <= 11 km,Fault Segments <= 12 km,Fault Segments <= 13 km,Fault Segments <= 14 km,Fault Segments <= 15 km,Fault Segments <= 16 km,Fault Segments <= 17 km,Fault Segments <= 18 km,Fault Segments <= 19 km,Fault Segments <= 20 km
22739488,6.84512939649473,0,0,0,0,0,0,6,18,26,49,61,100,141,167,209,245,293,338,375,430
22739550,0.19010352424058377,5,15,32,52,69,102,128,161,193,219,253,289,326,362,415,451,484,514,562,627
22739562,0.4852595632039796,3,7,11,15,19,40,68,86,102,118,134,148,164,179,190,203,216,229,240,254
22739572,0.40873499008888836,5,10,15,41,68,97,128,178,225,266,299,328,362,402,461,503,562,610,660,711
22739585,2.5995426374639314,0,0,6,16,23,33,49,72,92,111,129,149,177,206,236,265,292,316,363,419
22739642,5.499710838779239,0,0,0,0,0,9,16,24,30,36,42,76,100,122,155,185,228,279,338,381
22739671,1.715220077971121,0,6,17,42,71,101,133,159,193,233,277,338,391,439,483,521,562,604,641,675
22739689,1.6578195139259575,0,6,25,46,66,104,139,172,215,256,292,331,360,389,433,490,546,592,655,707
22739690,0.0055359810531338755,3,7,18,32,58,80,96,120,155,205,252,310,370,426,481,538,586,639,696,739
22739854,0.2486586599790269,3,4,16,29,39,62,86,109,131,159,187,212,246,279,305,352,385,417,448,482
22739875,0.5227016023802539,5,19,41,69,90,105,121,147,170,209,250,287,337,375,422,468,508,541,586,642
22739944,5.8008536801574815,0,0,0,0,0,6,14,28,42,66,117,149,182,223,271,309,356,400,439,487
22740013,0.1965541041020432,5,9,26,36,46,66,90,114,129,150,173,192,210,255,288,316,350,414,465,512
22740024,0.172742608320118,5,9,13,17,22,29,37,45,51,65,88,104,119,134,147,157,176,207,237,275
22740032,0.1607364217205533,6,11,19,28,38,59,79,125,165,214,264,320,382,443,510,565,618,670,735,784
22740241,0.27078858741870193,5,8,17,23,32,48,67,103,146,178,214,248,274,318,345,371,399,435,469,492
22740294,2.7737462932901735,0,0,5,11,15,19,23,27,34,54,70,81,93,108,127,157,190,237,279,331
22740310,5.938862672098775,0,0,0,0,0,1,3,4,17,24,36,48,61,71,79,89,102,116,132,166
22740391,0.21092054684193273,4,7,14,25,36,53,83,110,139,161,186,217,245,280,325,361,400,438,477,523
22740609,1.1754843602379195,0,9,19,40,70,92,115,144,189,244,291,339,397,452,492,546,587,620,662,700
22740627,2.7694616197545394,0,0,4,11,15,19,24,29,36,42,48,53,60,84,97,111,136,151,169,189
22740639,1.1718034825197072,0,9,19,40,70,92,115,144,189,243,291,340,396,451,490,546,586,621,663,701
22740777,6.80688354372004,0,0,0,0,0,0,2,6,8,10,12,14,16,19,23,26,33,43,56,70
22740963,1.9179977161711035,0,3,10,16,20,24,33,41,47,53,62,77,94,110,128,145,162,203,253,293
22741036,7.380574771651624,0,0,0,0,0,0,0,2,4,6,8,10,12,14,15,16,18,20,27,35
22741186,4.154717705604524,0,0,0,0,15,22,39,55,68,85,109,135,181,224,274,306,354,400,464,516
22741307,3.766477487722736,0,0,0,1,3,5,7,9,12,19,24,28,33,51,68,80,105,127,157,184
22741311,4.083105619618301,0,0,0,0,8,12,27,38,47,58,71,85,105,125,143,164,206,241,272,299
22741332,1.2893296905795404,0,5,7,9,10,12,16,20,28,34,41,56,72,84,99,112,129,170,202,237
22741344,1.6981240852314574,0,4,10,13,17,20,24,40,53,66,77,89,103,115,143,173,195,224,259,298
22741419,9.01974878311445,0,0,0,0,0,0,0,0,0,8,12,15,20,28,34,42,51,60,70,80
22741433,8.489981944186313,0,0,0,0,0,0,0,0,1,15,21,30,38,48,58,67,78,87,98,111
22741596,2.813871459184794,0,0,3,11,14,16,18,20,21,22,26,32,38,51,64,75,87,105,118,133
22741638,6.345833014535863,0,0,0,0,0,0,16,24,43,61,88,117,161,200,261,314,361,389,418,461
22741688,12.726530562525415,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,16,24,31,39,70
22741712,0.6549990132310908,6,14,30,41,56,85,108,131,170,205,253,304,343,406,452,494,559,601,656,710
22741775,16.668290201433233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,13,37
22741776,2.1461335879059407,0,0,7,11,15,19,23,45,58,70,84,97,109,120,145,182,203,245,277,307
22741779,0.8292607311073134,3,13,23,41,61,86,107,131,155,175,192,222,254,279,305,334,388,436,505,577
22741780,0.10631858068116413,7,19,30,45,59,86,109,138,173,197,221,245,292,324,361,418,475,542,598,655
22741788,3.7756100893768036,0,0,0,2,6,8,10,12,14,16,18,20,21,24,29,39,49,62,77,91
22741843,3.0845093997862314,0,0,0,10,15,19,32,48,61,72,82,90,96,109,121,131,141,154,163,181
22742045,2.8059613821731992,0,0,8,23,31,39,47,55,89,107,128,144,160,174,189,200,211,223,239,267
22742151,14.978970841310787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,8,10,15
22742166,10.566646488714468,0,0,0,0,0,0,0,0,0,0,4,16,23,28,37,45,55,65,74,94
22742170,8.10320833486218,0,0,0,0,0,0,0,0,4,6,8,10,12,14,16,19,24,31,39,50
22742238,11.020859308497936,0,0,0,0,0,0,0,0,0,0,0,4,6,8,11,13,14,20,26,32
22742249,9.109601248461692,0,0,0,0,0,0,0,0,0,3,5,7,11,15,27,36,44,73,91,110
22742503,17.744086050937295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
22742764,19.578598202601114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
23535256,5.344319772707072,0,0,0,0,0,11,15,17,19,23,32,40,55,66,77,91,106,119,132,146
23535360,1.924563367494395,0,3,9,13,17,21,25,27,29,31,43,48,52,73,93,104,107,113,120,130
23535712,3.5319720482186003,0,0,0,7,13,17,21,25,29,42,49,55,61,66,77,92,105,116,125,133
23536576,34.66588333858589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26300188,106.54547289864955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26300427,83.45592796370096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26300433,81.50464126832165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26300448,82.23346286309372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26331495,97.91191267889683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31700000,3.372634131753514,0,0,0,8,16,22,28,34,40,45,51,67,84,98,113,130,172,218,253,289
31700024,0.8295200728478519,5,14,22,33,56,90,130,169,203,251,290,360,430,490,544,613,693,764,820,877
31700114,0.1352847161929886,3,7,18,24,31,46,55,67,90,112,129,151,200,238,271,299,325,348,395,436
31700172,3.653912722769575,0,0,0,2,4,17,24,31,36,42,48,54,61,90,112,146,177,210,252,293
31700173,1.2655329673111602,0,7,11,14,17,21,24,31,37,57,71,84,94,103,135,155,176,201,229,269
31700386,0.33058886956117534,3,13,24,36,47,65,97,123,160,212,244,276,303,333,376,415,448,485,520,583
31710260,0.8611122932025995,3,10,19,25,39,50,58,72,95,132,165,194,215,257,303,380,452,517,574,661
31710312,1.4588232848207008,0,7,16,24,32,37,58,95,125,153,187,222,274,330,395,445,502,564,644,726
31730078,0.4574647205655062,8,14,21,33,50,67,93,127,158,199,242,277,307,333,379,417,454,489,545,596
31730142,4.835414052948146,0,0,0,0,1,17,24,33,45,78,99,123,151,183,228,261,306,346,414,469
31730311,1.6697219897618711,0,5,18,31,50,73,95,121,154,183,213,263,304,346,382,422,474,519,568,622
31730373,0.3144636966645349,4,8,11,33,60,80,96,112,132,166,190,215,252,288,342,384,428,491,547,604
31730388,0.8876673202430619,4,10,21,38,48,68,91,120,159,199,230,271,327,369,404,444,498,549,591,635
31730471,2.3442492060957045,0,0,1,7,12,18,35,45,62,81,97,113,146,165,194,228,270,302,329,373
31730538,0.5149296705499737,3,11,21,28,34,45,58,69,76,84,96,127,152,185,218,247,295,335,371,401
