radius_km,M_thr,W,P_exceed,P_lo,P_hi
2,2.0,10000.0,0.0,0.0,1.7974853704811845e-50
2,2.0,10985.411419875572,0.0,0.0,1.9757224431058528e-50
2,2.0,12067.92640639329,0.0,0.0,2.1717536955982793e-50
2,2.0,13257.113655901081,0.0,0.0,2.3873805086237593e-50
2,2.0,14563.484775012445,0.0,0.0,2.624591766893887e-50
2,2.0,15998.587196060573,0.0,0.0,2.8855844302131633e-50
2,2.0,17575.10624854793,0.0,0.0,3.1727865737022484e-50
2,2.0,19306.977288832495,0.0,0.0,3.4888832349025674e-50
2,2.0,21209.508879201927,0.0,0.0,3.8368454592365495e-50
2,2.0,23299.51810515372,0.0,0.0,4.2199629989398494e-50
2,2.0,25595.479226995332,0.0,0.0,4.641881196106105e-50
2,2.0,28117.68697974231,0.0,0.0,5.1066426703699765e-50
2,2.0,30888.435964774784,0.0,0.0,5.618734539057114e-50
2,2.0,33932.217718953296,0.0,0.0,6.183142026067717e-50
2,2.0,37275.93720314938,0.0,0.0,6.805409469979948e-50
2,2.0,40949.15062380427,0.0,0.0,7.491709927559936e-50
2,2.0,44984.32668969444,0.0,0.0,8.248924793166789e-50
2,2.0,49417.13361323838,0.0,0.0,9.084735126266799e-50
2,2.0,54286.754393238596,0.0,0.0,1.0007726709515804e-49
2,2.0,59636.23316594637,0.0,0.0,1.102751126243952e-49
2,2.0,65512.85568595509,0.0,0.0,1.2154866728171196e-49
2,2.0,71968.56730011514,0.0,0.0,1.340190015493083e-49
2,2.0,79060.43210907701,0.0,0.0,1.4782237438010432e-49
2,2.0,86851.13737513521,0.0,0.0,1.6311245107452638e-49
2,2.0,95409.54763499944,0.0,0.0,1.8006290486922666e-49
2,2.0,104811.31341546852,0.0,0.0,1.988704796883894e-49
2,2.0,115139.53993264481,0.0,0.0,2.1975860924962746e-49
2,2.0,126485.52168552957,0.0,0.0,2.429817099793568e-49
2,2.0,138949.5494373136,0.0,0.0,2.6883029324651607e-49
2,2.0,152641.79671752334,0.0,0.0,2.9763707793106327e-49
2,2.0,167683.29368110065,0.0,0.0,3.2978432948895612e-49
2,2.0,184206.99693267164,0.0,0.0,3.657127093478953e-49
2,2.0,202358.96477251555,0.0,0.0,4.0593199250781356e-49
2,2.0,222299.64825261955,0.0,0.0,4.510341067611679e-49
2,2.0,244205.30945486497,0.0,0.0,5.0170907089633816e-49
2,2.0,268269.57952797273,0.0,0.0,5.587645709466637e-49
2,2.0,294705.170255181,0.0,0.0,6.231501257236467e-49
2,2.0,323745.754281764,0.0,0.0,6.959870729704843e-49
2,2.0,355648.03062231286,0.0,0.0,7.786059795701257e-49
2,2.0,390693.99370546127,0.0,0.0,8.725935768147505e-49
2,2.0,429193.42601287784,0.0,0.0,9.79851991666132e-49
2,2.0,471486.63634573895,0.0,0.0,1.102673953368904e-48
2,2.0,517947.46792312124,0.0,0.0,1.2438388958310098e-48
2,2.0,568986.6029018293,0.0,0.0,1.4067365848665418e-48
2,2.0,625055.1925273977,0.0,0.0,1.595527271054895e-48
2,2.0,686648.8450042998,0.0,0.0,1.8153506888537668e-48
2,2.0,754312.0063354607,0.0,0.0,2.0726009111610057e-48
2,2.0,828642.7728546843,0.0,0.0,2.3752907516514822e-48
2,2.0,910298.1779915227,0.0,0.0,2.73353902629617e-48
2,2.0,1000000.0,0.0,0.0,3.160227971734129e-48
2,3.0,10000.0,0.0,0.0,2.6448419574764827e-108
2,3.0,10985.411419875572,0.0,0.0,2.9079229449210705e-108
2,3.0,12067.92640639329,0.0,0.0,3.197438580756979e-108
2,3.0,13257.113655901081,0.0,0.0,3.51610015868487e-108
2,3.0,14563.484775012445,0.0,0.0,3.866908428389804e-108
2,3.0,15998.587196060573,0.0,0.0,4.253186818709529e-108
2,3.0,17575.10624854793,0.0,0.0,4.6786189368524186e-108
2,3.0,19306.977288832495,0.0,0.0,5.147290982288293e-108
2,3.0,21209.508879201927,0.0,0.0,5.663739825130711e-108
2,3.0,23299.51810515372,0.0,0.0,6.233007632052689e-108
2,3.0,25595.479226995332,0.0,0.0,6.86070408291798e-108
2,3.0,28117.68697974231,0.0,0.0,7.553077414323509e-108
2,3.0,30888.435964774784,0.0,0.0,8.317095759638887e-108
2,3.0,33932.217718953296,0.0,0.0,9.160540538146759e-108
2,3.0,37275.93720314938,0.0,0.0,1.0092113990281817e-107
2,3.0,40949.15062380427,0.0,0.0,1.1121563376181567e-107
2,3.0,44984.32668969444,0.0,0.0,1.2259824869439759e-107
2,3.0,49417.13361323838,0.0,0.0,1.3519190810194465e-107
2,3.0,54286.754393238596,0.0,0.0,1.4913504761219137e-107
2,3.0,59636.23316594637,0.0,0.0,1.645838977517263e-107
2,3.0,65512.85568595509,0.0,0.0,1.817151647895744e-107
2,3.0,71968.56730011514,0.0,0.0,2.0072919074270513e-107
2,3.0,79060.43210907701,0.0,0.0,2.218536922224636e-107
2,3.0,86851.13737513521,0.0,0.0,2.4534820128709684e-107
2,3.0,95409.54763499944,0.0,0.0,2.715093611061105e-107
2,3.0,104811.31341546852,0.0,0.0,3.006772668214772e-107
2,3.0,115139.53993264481,0.0,0.0,3.3324308984841156e-107
2,3.0,126485.52168552957,0.0,0.0,3.6965828510806906e-107
2,3.0,138949.5494373136,0.0,0.0,4.104457594611748e-107
2,3.0,152641.79671752334,0.0,0.0,4.562134814635158e-107
2,3.0,167683.29368110065,0.0,0.0,5.0767114497140156e-107
2,3.0,184206.99693267164,0.0,0.0,5.656506722248602e-107
2,3.0,202358.96477251555,0.0,0.0,6.311315696838248e-107
2,3.0,222299.64825261955,0.0,0.0,7.052724511139906e-107
2,3.0,244205.30945486497,0.0,0.0,7.894504435644248e-107
2,3.0,268269.57952797273,0.0,0.0,8.853107296689877e-107
2,3.0,294705.170255181,0.0,0.0,9.948292057327229e-107
2,3.0,323745.754281764,0.0,0.0,1.1203922223563893e-106
2,3.0,355648.03062231286,0.0,0.0,1.2648987271556416e-106
2,3.0,390693.99370546127,0.0,0.0,1.4318919974798156e-106
2,3.0,429193.42601287784,0.0,0.0,1.625730752838668e-106
2,3.0,471486.63634573895,0.0,0.0,1.8518130913817272e-106
2,3.0,517947.46792312124,0.0,0.0,2.1168718749147616e-106
2,3.0,568986.6029018293,0.0,0.0,2.42936759916111e-106
2,3.0,625055.1925273977,0.0,0.0,2.8000154978002567e-106
2,3.0,686648.8450042998,0.0,0.0,3.2424992708174823e-106
2,3.0,754312.0063354607,0.0,0.0,3.7744469196357352e-106
2,3.0,828642.7728546843,0.0,0.0,4.418778654397722e-106
2,3.0,910298.1779915227,0.0,0.0,5.205588955632556e-106
2,3.0,1000000.0,0.0,0.0,6.174804645509016e-106
2,4.0,10000.0,0.0,0.0,2.4255469200937387e-189
2,4.0,10985.411419875572,0.0,0.0,2.6675676869397276e-189
2,4.0,12067.92640639329,0.0,0.0,2.9340630716305735e-189
2,4.0,13257.113655901081,0.0,0.0,3.227575606344061e-189
2,4.0,14563.484775012445,0.0,0.0,3.5509258708019275e-189
2,4.0,15998.587196060573,0.0,0.0,3.907245730264715e-189
2,4.0,17575.10624854793,0.0,0.0,4.300016106257704e-189
2,4.0,19306.977288832495,0.0,0.0,4.733110003288645e-189
2,4.0,21209.508879201927,0.0,0.0,5.210841648869877e-189
2,4.0,23299.51810515372,0.0,0.0,5.738022766211504e-189
2,4.0,25595.479226995332,0.0,0.0,6.32002719559204e-189
2,4.0,28117.68697974231,0.0,0.0,6.962865319659509e-189
2,4.0,30888.435964774784,0.0,0.0,7.673270039997174e-189
2,4.0,33932.217718953296,0.0,0.0,8.458796410052571e-189
2,4.0,37275.93720314938,0.0,0.0,9.327937469160931e-189
2,4.0,40949.15062380427,0.0,0.0,1.029025936458768e-188
2,4.0,44984.32668969444,0.0,0.0,1.1356559519534865e-188
2,4.0,49417.13361323838,0.0,0.0,1.2539052438608189e-188
2,4.0,54286.754393238596,0.0,0.0,1.3851588781736931e-188
2,4.0,59636.23316594637,0.0,0.0,1.5309914638834798e-188
2,4.0,65512.85568595509,0.0,0.0,1.6931979573580614e-188
2,4.0,71968.56730011514,0.0,0.0,1.8738304070133715e-188
2,4.0,79060.43210907701,0.0,0.0,2.075241963618272e-188
2,4.0,86851.13737513521,0.0,0.0,2.3001398153154858e-188
2,4.0,95409.54763499944,0.0,0.0,2.5516491337343167e-188
2,4.0,104811.31341546852,0.0,0.0,2.833390667369692e-188
2,4.0,115139.53993264481,0.0,0.0,3.14957532957229e-188
2,4.0,126485.52168552957,0.0,0.0,3.5051200534106284e-188
2,4.0,138949.5494373136,0.0,0.0,3.905790395456435e-188
2,4.0,152641.79671752334,0.0,0.0,4.35837696233379e-188
2,4.0,167683.29368110065,0.0,0.0,4.870914841282464e-188
2,4.0,184206.99693267164,0.0,0.0,5.452958024007067e-188
2,4.0,202358.96477251555,0.0,0.0,6.11592457986839e-188
2,4.0,222299.64825261955,0.0,0.0,6.873533422867697e-188
2,4.0,244205.30945486497,0.0,0.0,7.742360440795002e-188
2,4.0,268269.57952797273,0.0,0.0,8.742551248775741e-188
2,4.0,294705.170255181,0.0,0.0,9.898740950765024e-188
2,4.0,323745.754281764,0.0,0.0,1.124124957893675e-187
2,4.0,355648.03062231286,0.0,0.0,1.2807647587656115e-187
2,4.0,390693.99370546127,0.0,0.0,1.4644822247034225e-187
2,4.0,429193.42601287784,0.0,0.0,1.6811728010665677e-187
2,4.0,471486.63634573895,0.0,0.0,1.938307948430337e-187
2,4.0,517947.46792312124,0.0,0.0,2.2454356060532923e-187
2,4.0,568986.6029018293,0.0,0.0,2.61486504985056e-187
2,4.0,625055.1925273977,0.0,0.0,3.06261377348229e-187
2,4.0,686648.8450042998,0.0,0.0,3.609730945330055e-187
2,4.0,754312.0063354607,0.0,0.0,4.2841685865905273e-187
2,4.0,828642.7728546843,0.0,0.0,5.12345952620787e-187
2,4.0,910298.1779915227,0.0,0.0,6.178599696225646e-187
2,4.0,1000000.0,0.0,0.0,7.519753844303757e-187
2,5.0,10000.0,0.0,0.0,1.386421316217094e-293
2,5.0,10985.411419875572,0.0,0.0,1.5251887547056354e-293
2,5.0,12067.92640639329,0.0,0.0,1.6780784976187305e-293
2,5.0,13257.113655901081,0.0,0.0,1.846576072904234e-293
2,5.0,14563.484775012445,0.0,0.0,2.032333224758484e-293
2,5.0,15998.587196060573,0.0,0.0,2.2371885297123123e-293
2,5.0,17575.10624854793,0.0,0.0,2.4631909655211826e-293
2,5.0,19306.977288832495,0.0,0.0,2.712626929378102e-293
2,5.0,21209.508879201927,0.0,0.0,2.988051298495842e-293
2,5.0,23299.51810515372,0.0,0.0,3.292323243635098e-293
2,5.0,25595.479226995332,0.0,0.0,3.6286476498862983e-293
2,5.0,28117.68697974231,0.0,0.0,4.000623175273676e-293
2,5.0,30888.435964774784,0.0,0.0,4.41229819455481e-293
2,5.0,33932.217718953296,0.0,0.0,4.8682361434851637e-293
2,5.0,37275.93720314938,0.0,0.0,5.373592110670292e-293
2,5.0,40949.15062380427,0.0,0.0,5.934202937081954e-293
2,5.0,44984.32668969444,0.0,0.0,6.556693598971226e-293
2,5.0,49417.13361323838,0.0,0.0,7.24860329660132e-293
2,5.0,54286.754393238596,0.0,0.0,8.018535485364172e-293
2,5.0,59636.23316594637,0.0,0.0,8.876337115704856e-293
2,5.0,65512.85568595509,0.0,0.0,9.833313656364022e-293
2,5.0,71968.56730011514,0.0,0.0,1.0902488145477467e-292
2,5.0,79060.43210907701,0.0,0.0,1.2098914655903664e-292
2,5.0,86851.13737513521,0.0,0.0,1.344005932280138e-292
2,5.0,95409.54763499944,0.0,0.0,1.494626566107145e-292
2,5.0,104811.31341546852,0.0,0.0,1.6641325565774313e-292
2,5.0,115139.53993264481,0.0,0.0,1.8553183504940097e-292
2,5.0,126485.52168552957,0.0,0.0,2.0714809480660693e-292
2,5.0,138949.5494373136,0.0,0.0,2.3165287040073226e-292
2,5.0,152641.79671752334,0.0,0.0,2.5951176919271566e-292
2,5.0,167683.29368110065,0.0,0.0,2.9128236138867235e-292
2,5.0,184206.99693267164,0.0,0.0,3.2763598427326583e-292
2,5.0,202358.96477251555,0.0,0.0,3.6938557408635117e-292
2,5.0,222299.64825261955,0.0,0.0,4.17521428991404e-292
